context,tel_Telu
"He also said that he had no personal malice against the officers whom he shot. If there has been any personal malice, Mangal Pandays name would have been in the list of assassins and not of martyrs. But Mangal Pandays brave deed was done through devotion to a high and noble principle.","అయితే మంగళ్ పాండే యొక్క సాహస కృత్యం, ఉన్నతమైన, ఉదాత్తమైన సిద్ధాంతం పట్ల భక్తితో చేయబడినది."
"Heat the oil in a pressure cooker and add the onions. Fry the onions till they translucent. Once the onions are translucent, add the marinated mutton with turmeric powder and saute for sometime till all the spices are absorbed in the mutton about 5-6 minutes.","ఉల్లిపాయలు మగ్గాక, నానబెట్టిన మటన్ తో బాటు పసుపు వేసి కాసేపు మసాలాలన్నీ మటన్ పీల్చుకునేదాకా ఒక 5-6 నిమిషాలబాటు వేయించుకోవాలి."
"Hitopadesa is a book of worldly wisdom presented through the characters of birds, animals and humans. The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour. The stories are elaborate, ending with moral messages.","హితోపదేశ అనేది పక్షులు, జంతువులు, మానవ పాత్రల ద్వారా ప్రాపంచిక జ్ఞానాన్ని అందించే గ్రంథం."
"Hitopadesa is a book of worldly wisdom presented through the characters of birds, animals and humans. The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour. The stories are elaborate, ending with moral messages.",సంస్కృత వ్యక్తీకరణలో ప్రావీణ్యాన్ని మరియు వివేకవంతమైన ప్రవర్తనకు సంబంధించిన జ్ఞానాన్ని ప్రోత్సహించడం ఈ పుస్తకం యొక్క ఉద్దేశ్యంగా కనిపిస్తోంది.
"In 1989 when there was a roaring movement for celebration of 300 years of Calcutta some eminent personalities of Howrah framed a society titled 'Howrah Jela Itihas Pranayan, Unnayan 0 Smarak Samity' and Asitbabu became the President of this Society. The main purpose of the Samity was to pen down a complete history of Howrah, the twin city of Kolkata. Professor Asitkumar Bandyopadhyay played pioneering role in compiling the complete history of his hometown Howrah titled as Howrah Saharer Itibrrito (First and Second Volume) in 1994 & 1995.",ప్రొఫెసర్ అసిత్ కుమార్ బందోపాధ్యాయ్ ఆయన సొంతఊరు హౌరా సంపూర్ణ చరిత్రను 1994 మరియు 1995 లో హౌరా సహరర్ ఇతిబ్రిత్తో పేరున (మొదటి మరియు రెండవ భాగం) సంకలనం చేయడంలో మార్గదర్శకులుగా వ్యవహరించారు.
"In western India, many Buddhist caves dating back to the second century B.C.E. onward have been excavated. These include Bhaja, Kanheri, Karla, Ajanta, Ellora, Bedasa, Nashik, Junnar, Pitalkhora, etc. The front of the caitya hall is dominated by the motif of a semi-circular caitya arch with an open front which has a wooden facade and, in some cases, there is no dominating caitya arch window.","చైత్యా చావడి ముందు భాగాన శాశించే వరుస అర్ధ వృత్తాకార చైత్యా ఆర్చీలతో తెరచి ఉన్నచెక్క ముఖద్వారం కలిగి ఉంటుంది, అలాగే, మరి కొన్నిటిలో శాశించే చైత్యా ఆర్చీల గవాక్షం ఉండదు."
India has very rich culinary heritage that is embedded in its thousands of years of history. Generations of 'maharaj' and 'khansamas' (as expert chefs have traditionally been called in India) have perfected the recipes over centuries and these recipes have passed through oral tradition over thousands of years. These are not only mouthwatering savories but usually based on strong foundations of wholesome food relevant to the local people in different seasons.,తరతరాల 'మహారాజ్'లు మరియు 'ఖాన్సామాలు' (భారతదేశంలో నిష్ణాతులైన వంటమనిషులను సంప్రదాయంగా పిలిచే పేరు) శతాబ్దాలుగా వంటకాలను ఖచ్చితమైనవిగా చేశారు మరియు ఈ వంటకాలు చేసే పద్ధతులు వేల ఏళ్ళతరబడి మౌఖిక సంప్రదాయం ద్వారా అందించబడుతూ ఉన్నాయి.
"It is considered sacrilege to serve any dishes based around pulses or lentils during this feast. The traditional number of courses for the wazwan is thirty-six, though there can be fewer. The preparation is traditionally done by a vasta waza, or head chef, with the assistance of a court of wazas, or chefs.",దీని తయారీని సాంప్రదాయకంగా వాజాలు లేదా వంటవాళ్ళ సహాయంతో వాస్తా వాజా లేదా ప్రధాన వంటవారు చేస్తారు.
"Pav Bhaji: It is a fast food dish from Maharashtra, consisting of a thick vegetable curry (bhaji) usually prepared in butter and served with a soft bread roll (pav). The dish originated in the 1850s as a fast lunchtime dish for textile mill workers in Mumbai but later gained massive popularity. It is now offered at outlets from simple hand carts to formal restaurants in India and abroad.","పావ్ భాజీ: ఇది మహారాష్ట్రకు చెందిన చిరుతిండి వంటకం, దీనిలో సాధారణంగా వెన్నతో తయారు చేసిన చిక్కటి కూరగాయల కూరను మెత్తటి బ్రెడ్ రోల్ (పావ్)తో కలిపి వడ్డిస్తారు."
"Poet-saints who produced literary masterpieces include Chaitanyadeva in Bengali, Surdas in Hindi, Mira Bai in Rajasthani, Jnaneshwar in Marathi and Narsinha Mehta in Gujarati. The contribution of women writers needs special mention. The Kashmiri compositions of Lal Ded and Habba Khatoon are known for their mystical flavour and intense agony of expression, Mirabais compositions in Rajasthani is known for a unique devotional quality, Andals mysticism in Tamil and Akka Mahadevis vachanas in Kannnada are testimonies to the great contribution of women to literature of the time.","లల్ దెద్ మరియ హబ్బా ఖాతూన్ వంటి కాశ్మీరీ రచనలు వాటిలోని ఆధ్యాత్మిక కమ్మదనం, తీవ్రమైన ఆవేదనా భావాల వ్యక్తీకరణకి, రాజస్థాన్లో మీరాబాయి రచనలు అద్వితీయ భక్తి గుణానికి, తమిళంలోని ఆండాళ్ భావయోగము, మరియు కన్నడంలో అక్క మహాదేవి వచనలు అలనాటి సాహిత్యరంగానికి స్త్రీల ఘనమైన తోడ్పాటుకి నిదర్శనాలు."
"The Bagh Caves, consisting of Buddhist mural paintings, are located 97 km from Dhar district of Madhya Pradesh. These rock-cut cave monuments are not natural but were carved over a period of time during the Satvahana period. The Bagh caves, like those at Ajanta, were excavated on a perpendicular sandstone rock face of a hill across the seasonal stream of Baghani.",బౌద్ధ కుడ్య చిత్రాలు గల బాగ్ గుహలు మధ్యప్రదేశ్‌లోని ధార్ జిల్లాకు 97 కిమీ దూరంలో ఉన్నాయి.
"The Hindi terms for the root are mula and pada. The usual meaning of the word mula in Sanskrit literature is the root of a plant or tree; but figuratively the foot or lowest part or bottom of anything. Its other meanings are basis, foundation, cause, origin, etc.","సంస్కృత సాహిత్యంలో మూల అనే పదానికి సాధారణ అర్ధం మొక్క లేదా చెట్టు వేరు, కానీ ఉపమానంగా, అది పాదము లేదా దేనికైనా దిగువ భాగం లేదా అడుగు."
The Indus Valley Civilisation or Harrapan civilisation spreads across in India extensively. It spread from Alamgirpur in western Uttar Pradesh (in the East) to Sutkagendor in Makaran and Bhagatrav in South Gujarat (in the West) and from Gumla and Ropar (in the North) to Daimabad in Maharastra (in the South). Indus Valley Civilisation is known for its technological knowledge in variety of fields.,సింధు లోయ నాగరికత వివిధ రంగాలలో దానికున్న సాంకేతిక పరిజ్ఞానానికి ప్రసిద్ధి చెందింది.
"The battle rages for eighteen days and ends with the defeat of the Kauravas. All the Kauravas die; only the ve Pandava brothers and Krishna survive. The six set out for heaven together, but all die on the way, except Yudhishthira, who reaches the gates of heaven accompanied only by a small dog, who turns out to be an incarnation of the god Dharma.","కౌరవులందరూ మరణిస్తారు; ఐదుగురు పాండవ సోదరులు, కృష్ణుడు మాత్రమే సజీవంగా మిగులుతారు."
"The battle rages for eighteen days and ends with the defeat of the Kauravas. All the Kauravas die; only the ve Pandava brothers and Krishna survive. The six set out for heaven together, but all die on the way, except Yudhishthira, who reaches the gates of heaven accompanied only by a small dog, who turns out to be an incarnation of the god Dharma.",యుద్ధం పద్దెనిమిది రోజుల పాటు విధ్వంసకరంగా కొనసాగి కౌరవుల ఓటమితో ముగిసి పోతుంది.
"The central story of the Mahabharata is a conict over succession to the throne of Hastinapura, a kingdom just north of modern Delhi that was the ancestral realm of a tribe most commonly known as the Bharatas. (India was at that time divided amongst many small, and often warring, kingdoms.) The struggle is between two groups of cousins, the Pandavas, or sons of Pandu, and the Kauravas, or descendants of Kuru. Because of his blindness, Dhritarashtra, the elder brother of Pandu, is passed over as king, the throne going instead to Pandu.","మహాభారతం ప్రధాన కథ ఆధునిక ఢిల్లీకి కొద్దిగా ఉత్తరాన ఉండిన రాజ్యమైన హస్తినాపురం యొక్క సింహాసనానికై పోరాటం, ఇది భరతులు అని వాడుకగా పిలువబడిన తెగకు చెందిన పూర్వీకుల రాజ్యం."
"The number of vegetarians exceed the number of non-vegetarians in Karnataka; therefore, their cuisine mainly consists of vegetarian dishes. The food of Karnataka is the mildest of all. Lunch is mostly served on a plantain leaf.",కర్ణాటకలో శాఖాహారుల సంఖ్య మాంసాహారుల సంఖ్యను మించి ఉంటుంది; కాబట్టి వారి వంటకాలలో ఎక్కువమటుకు శాఖాహార వంటకాలే ఉంటాయి.
"The rst is that the Gita is a conversation within a conversation. Dhritarashtra begins it by asking a question, and that is the last we hear out of him. He is answered by Sanjaya, who relates what is happening on the battle eld.",యుద్ధభూమిలో ఏం జరుగుతోందో వివరిస్తున్న సంజయుడు ఆయనకు సమాధానం చెబుతాడు.
"The two epics found in Tamil are Cilapathikaram and Manimekalai. Regarded as one of the great works of Tamil literature, the Silappadikaram is a poetic rendition with details of Tamil culture; its varied religions; its town plans and city types; the mingling of different people; and the arts of dance and music. Manimekalai is composed by the poet Chithalai Chathanar.",తమిళంలో కనబడే రెండు మహాకావ్యాలు సిలప్పదికారం మరియు మణిమేకలై.
The use of chilli powder in this region is done cautiously. They make a liberal use of palm sugar or brown sugar. Udupi food forms part of the cuisine of Karnataka,ఈ ప్రాంతంలో కారం పొడి జాగ్రత్తగా వాడబడుతుంది.
"The word Yoga is derived from the Sanskrit root Yuj, meaning to join or to yoke or to unite. As per Yogic scriptures, the practice of Yoga leads to the union of an individual consciousness with that of the universal consciousness indicating a perfect harmony between the body and mind, human and nature. According to modern scientists, everything in the universe is just a manifestation of the same quantum firmament.","యోగా అనే పదం యుజ్ అనే సంస్కృత మూలం నుండి ఉద్భవించింది, దీనర్థం దగ్గరికి చేర్చడం, కలపడం, ఏకం చేయడం."
"Tne Odissi dance form takes its name from the state of its origin, Odisha. It is approximately 60 years ago that Odissi, took its present form as seen today. Todays Odissi has evolved from the endless sculptures in various motifs carved on the temple walls of Orissa.",నేటి ఒడిస్సీ అనేది ఒరిస్సాలోని ఆలయ ప్రాకారాలపై చెక్కబడిన వివిధ నేపథ్యాలకు సంబంధించిన అపరిమితమైన శిల్పాల నుండి ఉద్భవించింది.
"Vasishtha now turned to the King and spoke gently: ""It ill becomes you, King, to refuse having promised once"". Born in the Ikshvaku line, you cannot do it. Having once said, 'I will do', you have no option but to do it.","వశిష్టుడు అప్పుడు రాజు వైపు తిరిగి సౌమ్యంగా మాట్లాడారు, "" ఒక సారి మాట ఇచ్చిన తర్వాత, రాజా, తిరస్కరించటం మీకు తగదు""."
"When Arjuna refuses to ght, Krishna has no patience with him. Only when he realizes the extent of Arjunas despondency does Krishna change his attitude and start teaching the mysteries of dharmic action in this world. He introduces Arjuna to the structure of the universe, the concepts of prakriti, primordial nature, and the three gunas, the properties that are active in prakriti.",అర్జునునిలో నైరాశ్యం యే మేరకు ఉందో గుర్తించిన పిమ్మటే కృష్ణుడు తన వైఖరి మార్చుకుని ఈ ప్రపంచంలో ధర్మాచరణ మర్మాలను బోధించనారంభించాడు.
"You may begin by adding a spoonful of grated coconut into the cylindrical container, followed by the well mixed rice flour. As you add the rice flour into the container, in between, you may also add small quantities of grated coconut. Make sure that the cylinder is just fully filled and now you may place it on the Puttu Kudam after covering the top portion of the cylinder.","మీరు పాత్రలో బియ్యం పిండిని వేస్తూ, మధ్యమధ్యలో కొద్దికొద్దిగా కొబ్బరి తురుమును కూడా కలుపవచ్చు."
"You may begin by adding a spoonful of grated coconut into the cylindrical container, followed by the well mixed rice flour. As you add the rice flour into the container, in between, you may also add small quantities of grated coconut. Make sure that the cylinder is just fully filled and now you may place it on the Puttu Kudam after covering the top portion of the cylinder.","స్థూపాకార పాత్రలో ఒక చెంచా కొబ్బరి కోరును వేయడంతో మొదలుపెట్టి, ఆ తర్వాత బాగా కలిపిన ఆ బియ్యం పిండిని వేయవచ్చు."
"maharajaranjitsinghsendowmentsawtheconstructionofabeautifulgurudwaraatnandedaround1835a.d.thegurudwarafeaturesanimposinggoldendomewithintricatecarvingandabreathtakinggurudwara.maharashtra,likeotherstatesofindia,hasitsownfolkmusic.thefolkmusicalprogrammelikegondhal,lavani,bharud,powadastandspopularespeciallyinruralareas.","రంజిత్ సింగ్ మహారాజు విరాళం వల్ల నాందేడ్ లో కీ శే 1835 ప్రాంతంలో, సున్నితమైన చెక్కడాలతో కూడిన ఒక గంభీరమైన బంగారు గోపురం కలిగిన అందమైన మరియు విస్మయం కలిగించే గురుద్వారా నిర్మాణం జరిగింది."
"samavedaisthecompilationoftheseselectedruchassettosvaraskeepingtheirproposedchandaorrhythmicmeters.onlythreesvarasudatta,anudattaandsvaritawereusedinsamagana.udattawasthesharppitch,anudattawasgravepitchandsvaritacombinedinitselfthecharacteristicsofboththepitches.",ఎన్నుకోబడ్డ ఈ రుచలను వాటి ప్రతిపదిత ఛందస్సు మరియు తాళ పరిమాణాలను అలాగే ఉంచుతూ స్వరపరచబడిన సంకలనం సామవేదం
"tothenorthofthegangawasthegreatkingdomkosala,madefertilebytheriversarayu.itscapitalwasayodhya,builtbymanu,thefamousrulerofthesolardynasty.fromvalmiki'sdescriptionofthecapitalofkosala,itisclearthatancientayodhyawasnotinferiortoourmoderncities.",కోసల రాజధాని గురించి వాల్మీకి వర్ణన ద్వారా ప్రాచీన అయోధ్యా నగరం మన ఆధునిక నగరాలకు ఏ మాత్రం తీసిపోనిదని స్పష్టమవుతుంది.
"vasishthanowturnedtothekingandspokegently:""itillbecomesyou,king,torefusehavingpromisedonce.bornintheikshvakuline,youcannotdoit.havingoncesaid,'iwilldo',youhavenooptionbuttodoit.","ఒకసారి "" నేను చేస్తాను"" అని చెప్పిన తర్వాత, మీకు చేయటం తప్ప వేరే ఎంపిక ఉండదు."
"A stable exchange rate is a beacon of financial and overall macroeconomic stability and market confidence. In recent days, there have been divergent views on the exchange rate of the rupee and the adequacy of our forex reserves. Let me set out the overall position once again.","ఇటీవలి రోజుల్లో, రూపాయి మారకం ధర మరియు విదేశీ మారక ద్రవ్య నిలువల యుక్తత పై భిన్న అభిప్రాయాలు వినిపిస్తూ ఉన్నాయి."
"Banks shall report a credit card account as past due to credit information companies (CICs) or levy penal charges, viz. late payment charges, etc., if any, only when a credit card account remains past due for more than three days. The number of days past due and late payment charges shall, however, be computed from the payment due date mentioned in the credit card statement.","బ్యాంకులు ఒక క్రెడిట్ కార్డు ఖాతాను క్రెడిట్ ఇన్ఫర్మేషన్ కంపెనీలకు (సిఐసి లకు) గడువు మించినదిగా సమాచారం ఇవ్వవచ్చు లేదా, క్రెడిట్ కార్డు ఖాతా మూడు రోజులకు పైగా గడువు మించి ఉంటే మాత్రమే ఏవైనా ఆలస్య చెల్లింపు ఛార్జీలు మొ. జరిమానా ఛార్జీలు విధించవచ్చు."
Countries may encourage inward direct investment to improve their fnances. Firms that set up operations in host countries are subject to local tax laws and often signifcantly boost the host countrys tax revenues. Direct investment can also help a countrys balance of payments.,దేశాలు తమ ఆర్థికస్థితిని మెరుగు పరచుకునేందుకు అంతర్గతంగా ప్రత్యక్ష పెట్టుబడులను ప్రోత్సహించవచ్చు.
"During the pendency of the application for restructuring of the advance with the bank, the usual asset classification norms would continue to apply. The process of reclassification of an asset should not stop merely because the application is under consideration. However, as an incentive for quick implementation of the package, if the approved package is implemented by the bank within 90 days from the date of receipt of application by the bank, the asset classification status may be restored to the position which existed when the restructuring application was received by the bank.","అయితే, బ్యాంకు దరఖాస్తును స్వీకరించిన తేదీ నుండి 90 రోజులలోపు అమోదించబడిన ప్యాకేజీని అమలు చేస్తే, ప్యాకేజీని త్వరితంగా అమలు చేసినందుకు ప్రోత్సాహకంగా, సంపద వర్గీకరణ స్థితిని బ్యాంకు పునర్వ్యవస్థీకరణ దరఖాస్తును స్వీకరించినప్పటి స్థితికి పునరుద్ధరించవచ్చు."
"Economic growth under capitalism may have far surpassed that of other economic systems, but inequality remains one of its most controversial attributes. Do the dynamics of private capital accumulation inevitably lead to the concentration of wealth in fewer hands, or do the balancing forces of growth, competition, and technological progress reduce inequality? Economists have taken various approaches to fnding the driver of economic inequality.","వ్యక్తిగత పెట్టుబడి సమీకరణా గమనాత్మక శక్తులు అనివార్యంగా కొందరి చేతుల్లోకే సంపదను చేకూర్చచడానికి దారి తీస్తాయా లేక వృద్ధి, పోటీ, మరియు సాంకేతిక వికాసాల సమతుల్య శక్తులు అసమానతను తగ్గిస్తాయా?"
"First, the rupee is a freely floating currency and its exchange rate is market determined. Second, the RBI does not have any fixed exchange rate in mind. It intervenes in the market to curb excessive volatility and anchor expectations.",అది మితిమీరిన అస్థిరతను నివారించి అంచనాలను నిలకడగా ఉంచేందుకు విపణిలో జోక్యం చేసుకుంటుంది.
High frequency data for Q2 indicate that economic activity remains resilient. Private consumption has been holding up. There is a sustained revival in urban demand which should get a further impetus from unfettered celebration of upcoming festivals after two and half years of living with COVID-19.,క్యూ2కు గాను అధిక పౌనఃపౌన్య సమాచారం ఆర్థిక క్రియాశీలత స్థితిస్థాపకంగా నిలిచి ఉంటుందని సూచిస్తుంది.
"In macroeconomics, the subject is typically a nationhow all markets interact to generate big phenomena that economists call aggregate variables. In the realm of microeconomics, the object of analysis is a single marketfor example, whether price rises in the automobile or oil industries are driven by supply or demand changes. Te government is a major object of analysis in macroeconomicsfor example, studying the role it plays in contributing to overall economic growth or fghting infation.","సాధారణముగా దేశము, మరియు ఆర్థికవేత్తలు సమిష్టి వైవిధ్యాలుగా పిలుచుకునే గొప్ప దృగ్విషయాన్ని రాబట్టేందుకు విపణులు పరస్పరం ఎలా వ్యవహరిస్తాయి అనేది స్థూల అర్థశాస్త్రంలోని విషయం."
"In ofcial statistics, the amount of money in an economy is generally measured through what is called broad money, which encompasses everything that provides a store of value and liquidity. Liquidity refers to the extent to which fnancial assets can be sold at close to full market value at short notice. Tat is, they can easily be converted into another form of money, such as cash.",ద్రవ్యత్వం అనేది ఆర్థిక సంపత్తులు తక్కువ సమయంలో పూర్తి మార్కెట్టు ధరకు దగ్గరగా ఎంతమేర అమ్ముడవుతాయో సూచిస్తుంది.
"In order to reflect a bank's actual financial health in its balance sheet and as per the recommendations made by the Committee on Financial System (Chairman Shri M. Narasimham), the Reserve Bank has introduced, in a phased manner, prudential norms for income recognition, asset classification and provisioning for the advances portfolio of the banks. Broadly, the policy of income recognition should be objective and based on record of recovery rather than on any subjective considerations.",ఆదాయ గుర్తింపు విధానం నిష్పాక్షికంగా మరియు ఎటువంటి వ్యక్తిగత పరిగణనల కంటే వసూలు నమోదు ఆధారితంగా ఉండాలి.
"In the case of bank finance given for industrial projects where moratorium is available for payment of interest, payment of interest becomes due only after the moratorium or gestation period is over. Therefore, such amounts of interest do not become overdue and hence NPA, with reference to the date of debit of interest. They become overdue after due date for payment of interest, if uncollected.","కనుక, వడ్డీ దాఖాలా తేదీని బట్టి అటువంటి వడ్డీ మొత్తాలు గడువు మీరి ఎన్ పిఏ లుగా మారవు."
"In the payments space, going forward, the focus would be on enhancing awareness about digital payments and extending the outreach of payment systems across India and beyond. Implementation of the geo-tagging framework will provide precise locations of existing payment touch points and facilitate implementation of targeted literacy programmes and intervention strategies. The possibility of linking Indias payment systems to other jurisdictions, including the ongoing initiative of interlinking Indias fast payment system - UPI - with similar systems in other jurisdictions, will enhance cross-border payment arrangements, including remittances.","సాగుతున్న భారత శీఘ్ర చెల్లింపు విధానం - యుపిఐ ను - ఇతర అధికార పరిధులలో గల అటువంటి విధానాలతో జోడించే ప్రథమ యత్నంతో సహా ఇతర అధికార పరిధులతో భారత చెల్లింపు విధానాలను జోడించే సాధ్యత, డబ్బు బదిలీలతో బాటు సరిహద్దులు దాటి జరిగే చెల్లింపు ఏర్పాట్లను మెరుగు పరుస్తుంది."
Liquefied Natural Gas (LNG) is assuming greater importance in the energy segment as it is used to operate Power Plants and Industrial (fertilizer) Plants. Supply of LNG from source to various destinations (located in different states) through near sub-surface pipelines is techno-economically feasible and has a definite edge over other modes of transport for bulk quantity supply covering large distances. M/s.,విద్యుత్ కేంద్రాలు మరియు పారిశ్రామిక (ఎరువుల) కేంద్రాల నిర్వహణలో వినియోగం కారణంగా ద్రవీకృత సహజ వాయువు (ఎల్ఎన్ జి) విద్యుత్ రంగంలో అత్యధిక ప్రాముఖ్యత వహిస్తోంది.
"Marketplaces are a low-risk approach to start selling to US customers. However, while marketplaces allow you to grow sales, they do not enable you to grow a sustainable business and create your own marketable brand. Once you have established a first presence in the US, it makes sense to launch a light version of a local branded online store and focus on service and reputation building, before providing a fully functional US website, mobile experience and implementing a more aggressive and riskier marketing strategy in order to acquire new customers.","అయితే, మార్కెట్లు మీ విక్రయాలు పెంచుకునే వీలు కలిపించినప్పటికీ, మీ వ్యాపారం సుస్థిరంగా ఎదిగి మీదంటూ స్వంత వాణిజ్య బ్రాండ్ను సృష్టించుకునే సామర్థ్యం కల్పించవు."
"Payment Aggregators (PAs) play an important role in the payments ecosystem and hence were brought under regulations in March 2020 and designated as Payment System Operators (PSOs). The current regulations are, however, applicable to Payment Aggregators processing online or e-commerce transactions. These regulations do not cover offline Payment Aggregators who handle proximity/face-to- face transactions and play a significant role in the spread of digital payments.",పేమెంట్ అగ్రిగేటర్స్ (పిఏలు) చెల్లింపుల వ్యవస్థలో ముఖ్య పాత్ర వహిస్తాయి కనుక వీటిని మార్చి 2020 లో నిబంధనల క్రిందకు తీసుకువచ్చి పేమెంట్ సిస్టమ్ ఆపరేటర్సుగా (పిఓఎస్లు) నియమించబడ్డాయి.
"Payment Aggregators (PAs) play an important role in the payments ecosystem and hence were brought under regulations in March 2020 and designated as Payment System Operators (PSOs). The current regulations are, however, applicable to Payment Aggregators processing online or e-commerce transactions. These regulations do not cover offline Payment Aggregators who handle proximity/face-to- face transactions and play a significant role in the spread of digital payments.","ప్రస్తుత క్రమబద్ధీకరణలు, ఎట్లైననూ, పేమెంట్ అగ్రిగేటర్ల ఆన్లైన్ విశ్లేషణలకు, లేదా ఈ-కామర్స్ లావాదేవీలకు వర్తిస్తాయి. ."
"Ricardo observed that trade was driven by comparative rather than absolute costs (of producing a good). One country may be more productive than others in all goods, in the sense that it can produce any good using fewer inputs (such as capital and labor) than other countries require to produce the same good. Ricardos insight was that such a country would still beneft from trading according to its comparative advantageexporting products in which its absolute advantage was greatest, and importing products in which its absolute advantage was comparatively less (even if still positive).","రికార్డో అంతర్దృష్టి ప్రకారం అటువంటి దేశం తన తులనాత్మక ప్రయోజనాలకు అనుగుణంగా వర్తకం చేసుకోవటం, సమగ్ర లాభాలు అత్యంత అధికంగా ఉన్న ఉత్పత్తులను ఎగుమతి చేసి, సమగ్ర లాభాలు సాపేక్షంగా తక్కువ ఉన్న (ఇంకా సానుకూలం గా ఉన్నప్పటికీ) ఉత్పత్తులను దిగుమతి చేసుకోవటం ద్వారా ఇంకా లభం పొందగలుగుతుంది."
