text,or_text
"Here, every state, every region is replete with distinct festivals, generating a lot of interest in people from other countries","ଆମର ଏଠି ତ ପ୍ରତ୍ୟେକ ରାଜ୍ୟ, ପ୍ରତ୍ୟେକ କ୍ଷେତ୍ରର ସ୍ୱତନ୍ତ୍ର ଉତ୍ସବ ରହିଛି ଯାହା ଅନ୍ୟ ଦେଶର ଲୋକଙ୍କ ପାଇଁ ଖୁବ୍ ଆଗ୍ରହ ସୃଷ୍ଟି କରିଥାଏ"
"Hence, the Indian Diaspora has a significant role to play in promoting festival tourism in India","ସେଥିପାଇଁ, ଭାରତରେ ଫେଷ୍ଟିଭାଲ୍ଟୁରିଜିମର ଅଭିବୃଦ୍ଧି ନିମନ୍ତେ ଦେଶ ବାହାରେ ରହୁଥିବା ଭାରତୀୟଙ୍କ ଭୂମିକା ମଧ୍ୟ ଖୁବ୍ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ"
"My dear countrymen, in the previous episode of Mann Ki Baat, we had decided to do something different this Diwali","ମୋର ପ୍ରିୟ ଦେଶବାସୀ, ଗତ ଥର 'ମନ କି ବାତ୍'ରେ ଆମେ ସ୍ଥିର କରିଥିଲୁ ଯେ, ଏହି ଦୀପାବଳିରେ କିଛି ଭିନ୍ନ କରିବା"
"I had urged all of you to celebrate India's NariShakti, the power and achievement of women, thereby felicitating the Lakshmi of India","ମୁଁ କହିଥିଲି ଆସନ୍ତୁ, ଏହି ଦୀପାବଳିରେ ଭାରତର ନାରୀଶକ୍ତି ଏବଂ ସେମାନଙ୍କ ଉପଲବ୍ଧିଗୁଡ଼ିକୁ ପାଳନ କରିବା, ମାନେ ଭାରତର ଲକ୍ଷ୍ମୀକୁ ସମ୍ମାନ ଜଣାଇବା"
"And within no time, there followed a slew of innumerable inspirational stories on social media","ଆଉ ଦେଖୁ ଦେଖୁ, ଏହାର ତୁରନ୍ତ ପରେ, ସୋସିଆଲ୍ ମିଡିଆରେ ଅଗଣିତ ପ୍ରେରଣାଦାୟୀ କାହାଣୀ ଗଦା ହୋଇଗଲା"
"Kodipaka Ramesh from Warangal has written on Namo App""My mother is my strength","ୱାରଙ୍ଗଲ କୋଡିପକା ରମେଶ୍ ନମୋ ଆପରେ ଲେଖିଛନ୍ତି ଯେ, ମୋ ମା' ହେଉଛନ୍ତି ମୋ ଶକ୍ତି"
"In 1990, when my father expired, the responsibility to raise five sons fell on her shoulders","1990ରେ, ଯେତେବେଳେ ମୋ ବାପାଙ୍କ ଦେହାନ୍ତ ହେଲା, ସେତେବେଳେ ମୋ ମା' ହିଁ ପାଞ୍ଚ ପୁଅଙ୍କ ଦାୟିତ୍ୱ ବହନ କଲେ"
"Today, all five brothers are doing well in their respective professions",ଆଜି ଆମେ ପାଞ୍ଚ ଭାଇ ଭଲ ପେସାରେ ଅଛୁ
My mother is God to me,ମୋ ମା' ହିଁ ମୋ ପାଇଁ ଭଗବାନ
She is the Lakshmi of India in every sense of the term,ମୋ ପାଇଁ ସବୁକିଛି ଏବଂ ସେ ପ୍ରକୃତ ଅର୍ଥରେ ଭାରତର ଲକ୍ଷ୍ମୀ
""" Ramesh ji , respectful greetings to your mother","ରମେଶ ଜୀ, ଆପଣଙ୍କ ମା'ଙ୍କୁ ମୋର ପ୍ରଣାମ"
"Geetika Swami, who is active on Twitter, says that for her, Major Khushbu Kanwar, daughter of a bus conductor, who has led an all women contingent of Assam Rifles, is the Lakshmi of India","ଟ୍ୱିଟରରେ ସକ୍ରିୟ ରହୁଥିବା ଗୀତିକା ସ୍ୱାମୀ କହନ୍ତି ଯେ, ତାଙ୍କ ପାଇଁ ଆସାମ ରାଇଫଲ୍ସର ଅଲ୍ୱିମେନ୍ ଦଳର ନେତୃତ୍ୱ ନେଇଥିବା ଜଣେ ବସ୍ କଣ୍ଡକ୍ଟରଙ୍କ ଝିଅ ମେଜର ଖୁସବୁ କୱଁର ହେଉଛନ୍ତି ଭାରତର ଲକ୍ଷ୍ମୀ"
"For Kavita Tiwari, her daughter is the Lakshmi of India, her strength",କବିତା ତିୱାରୀ ଜୀଙ୍କ ପାଇଁ ତ ଭାରତର ଲକ୍ଷ୍ମୀ ହେଉଛନ୍ତି ତାଙ୍କ ଝିଅ ଯିଏ ତାଙ୍କର ଶକ୍ତି ମଧ୍ୟ
She is proud of her daughter's excellent painting ability,"ତାଙ୍କ ଝିଅ ଭଲ ପେଣ୍ଟିଙ୍ଗ୍ କରନ୍ତି, ଏ କଥାକୁ ନେଇ ସେ ଗର୍ବିତ"
She has also secured a good rank in the CLAT exam,ସେ ସିଏଲଏଟି ପରୀକ୍ଷାରେ ଭଲ ରାଙ୍କ ମଧ୍ୟ ହାସଲ କରିଛନ୍ତି
Whereas Megha Jain has mentioned that a 92 year old woman has been offering free drinking water to passengers at Gwalior Railway Station,ସେହିପରି ମେଘା ଜୈନ୍ ଜୀ ଗ୍ୱାଲିୟର୍ ରେଳ ଷ୍ଟେସନରେ ଦୀର୍ଘବର୍ଷ ଧରି ଯାତ୍ରୀମାନଙ୍କୁ ମାଗଣାରେ ପିଇବା ପାଣି ଯୋଗାଉଥିବା ଜଣେ 92 ବର୍ଷ ବୟସ୍କା ମହିଳାଙ୍କ ସମ୍ପର୍କରେ ଲେଖିଛନ୍ତି
Megha Ji is truly inspired by the humility and compassion of this Lakshmi of India,ମେଘା ଜୀ ଭାରତର ଏହି ଲକ୍ଷ୍ମୀଙ୍କ ବିନମ୍ରତା ଏବଂ କରୁଣାରେ ଖୁବ୍ ପ୍ରଭାବିତ ହୋଇଛନ୍ତି
Many such stories have been shared by people,ଏଭଳି ଅନେକ କାହାଣୀ ଲୋକେ ଶେୟାର କରିଛନ୍ତି
"Do read them, get inspired and share similar instances","ଆପଣମାନେ ନିଶ୍ଚୟ ପଢ଼ନ୍ତୁ, ପ୍ରେରିତ ହୁଅନ୍ତୁ ଏବଂ ନିଜେ ମଧ୍ୟ ଏଭଳି କିଛି ନିଜ ଆଖ ପାଖରୁ ଶେୟାର କରନ୍ତୁ"
I respectfully salute all the Lakshmis of India,ଭାରତର ଏହି ସମସ୍ତ ଲକ୍ଷ୍ମୀଙ୍କୁ ମୋର ସାଦର ପ୍ରଣାମ
"My dear countrymen, the well known 17th century poetess Sanchi Honnamma has penned a poem in Kannada that embodies the same thought, the same words pertaining to every Lakshmi of India that we referred to","ମୋର ପ୍ରିୟ ଦେଶବାସୀ, ସପ୍ତଦଶ ଶତାବ୍ଦୀର ସୁବିଖ୍ୟାତ କବୟିତ୍ରୀ ସାଁଚୀ ହୋନମ୍ମା"
One feels the foundation of the idea was laid in the 17th century itself,"ସେହି ଭାବନା, ସେହି ଶବ୍ଦ, ଭାରତର ପ୍ରତ୍ୟେକ ଲକ୍ଷ୍ମୀ, ଆମେ ଯାହାଙ୍କ କଥା କହୁଛୁ, ଏମିତି ଲାଗୁଛି ଯେ ଏହାର ମୂଳଦୁଆ ସପ୍ତଦଶ ଶତାବ୍ଦୀରେ ହିଁ ପଡ଼ିଥିଲା"
"You will notice the beauty of word, sentiment and thought in this poem in Kannada","କେତେ ସୁନ୍ଦର ଶବ୍ଦ, କେତେ ସୁନ୍ଦର ଭାବ ଆଉ କେତେ ଉତ୍ତମ ଚିନ୍ତାଧାରା କନ୍ନଡ଼ ଭାଷାର ଏହି କବିତାରେ ରହିଛି"
Penninda permegondanu himavantanu,ପେଣଣିନ୍ଦା ପେର୍ମେଗୋଣ୍ଡନୁ ହିମୱନ୍ତନୁ
Penninda broohu perchidanu,ପେଣଣିନ୍ଦା ଭୃଗୁ ପେର୍ଚିଦନୁ
Penninda janakaraayanu jasuvalendanu,ପେଣଣିନ୍ଦା ଜନକରାୟନୁ ଜସୱଡ଼େଦନୁ
"Which means, Himwant, Lord Mount attained fame on account of daughter Parvati, Rishi Brighu on account of his daughter Lakshmi and King Janak because of daughter Sita","ଯାହାର ଅର୍ଥ, ହିମବନ୍ତ ଅର୍ଥାତ୍ ପର୍ବତରାଜ ନିଜ କନ୍ୟା ପାର୍ବତୀଙ୍କ ଯୋଗୁଁ, ଭୃଗୁ ନିଜ କନ୍ୟା ଲକ୍ଷ୍ମୀଙ୍କ ଯୋଗୁଁ ଏବଂ ରାଜା ଜନକ ନିଜ କନ୍ୟା ସୀତାଙ୍କ ଯୋଗୁଁ ପ୍ରସିଦ୍ଧି ପାଇଥିଲେ"
"Our daughters are our pride...their prodigious virtuosity cradles our social fabric, ensuring its bright future","ଏହି ଝିଅମାନଙ୍କ ମହାତ୍ମ୍ୟରୁ ହିଁ, ଆମ ସମାଜର ଗୋଟିଏ ଦୃଢ଼ ପରିଚୟ ରହିଛି ଏବଂ ଏହାର ଉଜ୍ଜ୍ୱଳ ଭବିଷ୍ୟତ ରହିଛି"
"My dear countrymen, the 12th of November, 2019 is the day when the 550th Prakashotsav of Guru Nanak dev ji will be celebrated across the world","ମୋର ପ୍ରିୟ ଦେଶବାସୀ, 12 ନଭେମ୍ବର, 2019 ଏହା ସେହିଦିନ, ଯେଉଁଦିନ ସାରା ବିଶ୍ୱରେ ଶ୍ରୀ ଗୁରୁ ନାନକ ଦେବଜୀଙ୍କର 550ତମ ପ୍ରକାଶ ଉତ୍ସବ ପାଳନ କରାଯିବ"
The luminescence of Guru Nanak Dev ji's influence can be felt not only in India but around the world,ଗୁରୁ ନାନକ ଦେବଜୀଙ୍କ ପ୍ରଭାବ କେବଳ ଭାରତରେ ନୁହେଁ ବରଂ ସାରା ବିଶ୍ୱରେ ରହିଛି
Many of our Sikh brothers and sisters settled in other countries committedly follow Guru Nanak dev ji's ideals,"ବିଶ୍ୱର ଅନେକ ଦେଶରେ ଆମର ଶିଖ୍ ଭାଇଭଉଣୀ ବାସ କରୁଛନ୍ତି, ଯେଉଁମାନେ ଗୁରୁ ନାନକ ଦେବଜୀଙ୍କ ଆଦର୍ଶ ପ୍ରତି ସମ୍ପୂର୍ଣ୍ଣ ରୂପେ ସମର୍ପିତ"
I can never forget my visits to Gurudwaras in Vancouver and Tehran,ମୁଁ ଭାଙ୍କୋଭର୍ ଏବଂ ତେହେରାନରେ ଗୁରୁଦ୍ୱାରା ଭ୍ରମଣକୁ କେବେହେଲେ ଭୁଲିପାରିବିନି
"There is much about Guru Nanak Dev ji that I can share with you, but it will require many an episode of Mann ki Baat","ଶ୍ରୀ ଗୁରୁନାନକ ଦେବଜୀଙ୍କ ସମ୍ପର୍କରେ ଏମିତି ଅନେକ କିଛି କଥା ରହିଛି ଯାହା ମୁଁ ଆପଣଙ୍କୁ କହିପାରେ, କିନ୍ତୁ ଏଥିପାଇଁ 'ମନ୍ କି ବାତ୍'ର ଅନେକ ଅଧ୍ୟାୟ ଦରକାର"
He accorded the highest significance to the spirit of service,ସେ ସେବାକୁ ସର୍ବଦା ସବୁଠୁ ଉପରେ ରଖିଥିଲେ
Guru Nank Dev ji firmly believed that any service done selflessly was beyond evaluation,ନିଃସ୍ୱାର୍ଥ ଭାବରେ କରାଯାଇଥିବା ସେବାକାର୍ଯ୍ୟର କୌଣସି ମୂଲ୍ୟାଙ୍କନ କରାଯାଇ ନପାରେ ବୋଲି ଗୁରୁନାନକ ଦେବଜୀ ଚିନ୍ତା କରୁଥିଲେ
He stood firm against social ills such as untouchability,ସେ ଅସ୍ପୃଶ୍ୟତା ଭଳି ସାମାଜିକ କୁପ୍ରଥାକୁ ଦୃଢ଼ ବିରୋଧ କରୁଥିଲେ
Sri Guru Nanak Dev ji radiated his message to all corners of the world,ଶ୍ରୀ ଗୁରୁନାନକ ଦେବଜୀ ନିଜ ବାର୍ତ୍ତାକୁ ବିଶ୍ୱର କୋଣଅନୁକୋଣରେ ପହଞ୍ଚାଇଥିଲେ
He was the widest travelled of those times,ସେ ତାଙ୍କ ସମୟରେ ସବୁଠାରୁ ଅଧିକ ଯାତ୍ରା କରୁଥିବା ବ୍ୟକ୍ତିଙ୍କ ମଧ୍ୟରେ ଜଣେ ଥିଲେ
"And wherever he went he won hearts through his straightforwardness, humility and simplicity","ସେ ଅନେକ ସ୍ଥାନକୁ ଯାତ୍ରା କରିଥିଲେ ଏବଂ ଯେଉଁଠାକୁ ବି ଗଲେ, ସେଠାରେ ନିଜର ସରଳତା, ବିନମ୍ରତା ଆଉ ନିରାଡ଼ମ୍ବର ଆଚରଣ ଦ୍ୱାରା ସମସ୍ତଙ୍କ ହୃଦୟ ଜିଣିପାରିଥିଲେ"
Guru Nanak Ji undertook many significant spiritual journeys called 'Udaasi',"ଗୁରୁନାନକ ଦେବଜୀ ଅନେକ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ଧାର୍ମିକ ଯାତ୍ରା କରିଥିଲେ, ଯାହାକୁ 'ଉଦାସୀ' କୁହାଯାଏ"
"Carrying the message of harmony and equality, he travelled north, south, east and west, meeting people, saints and sages","ସଦ୍ଭାବନା ଏବଂ ସମାନତାର ବାର୍ତ୍ତା ନେଇ ସେ ଉତ୍ତର ହେଉ କି ଦକ୍ଷିଣ, ପୂର୍ବ ହେଉ କି ପଶ୍ଚିମ ସମସ୍ତ ଦିଗକୁ ଗଲେ, ସବୁ ଜାଗାରେ ଲୋକଙ୍କୁ, ସାଧୁସନ୍ଥଙ୍କୁ, ମୁନିଋଷିଙ୍କୁ ଭେଟିଲେ"
It is said that the revered Assamese saint Shankar Dev too was inspired by him,"କୁହାଯାଏ ଯେ, ଆସାମର ସୁପ୍ରସିଦ୍ଧ ସନ୍ଥ ଶଙ୍କରଦେବ ମଧ୍ୟ ତାଙ୍କ ଦ୍ୱାରା ଅନୁପ୍ରାଣିତ ହୋଇଥିଲେ"
He also travelled to the holy land of Haridwar,ସେ ହରିଦ୍ୱାରର ପବିତ୍ର ସ୍ଥାନକୁ ମଧ୍ୟ ଯାତ୍ରା କରିଥିଲେ
There is a holy place in Kashi named 'Gurubagh Gurudwara',କାଶୀରେ ଗୋଟିଏ ପବିତ୍ର ସ୍ଥଳ 'ଗୁରୁବାଗ୍ ଗୁରୁଦ୍ୱାରା' ରହିଛି
It is believed that Guru Nanak Dev Ji had halted there,"କୁହାଯାଏ ଯେ, ଶ୍ରୀ ଗୁରୁନାନକ ଦେବଜୀ ସେଠାରେ ରହିଥିଲେ"
He also went to Buddhist holy sites such as Rajgir and Gaya,ସେ ବୌଦ୍ଧଧର୍ମ ସହ ଜଡ଼ିତ ରାଜଗିର୍ ଏବଂ ଗୟା ଭଳି ଧାର୍ମିକ ସ୍ଥାନକୁ ମଧ୍ୟ ଯାତ୍ରା କରିଥିଲେ
"His journeys to the south took him to Sri Lanka, as well",ଦକ୍ଷିଣରେ ଗୁରୁ ନାନକ ଦେବଜୀ ଶ୍ରୀଲଙ୍କା ପର୍ଯ୍ୟନ୍ତ ଯାତ୍ରା କରିଥିଲେ
"During his Yatra to Bidar, Karnataka, he devised a solution for water woes the place was grappling with","କର୍ଣ୍ଣାଟକରେ ତାଙ୍କ ବିଦର୍ ଯାତ୍ରା ଅବସରରେ, ଗୁରୁ ନାନକ ଦେବଜୀ ହିଁ ସେଠାରେ ଜଳ ସଙ୍କଟର ସମାଧାନ କରିଥିଲେ"
"Gurunanak Jhira Sahib is a famous place in Bidar dedicated to him, cherishing reminiscences of him","ବିଦରରେ ""ଗୁରୁନାନକ ଜୀରା ସାହେବ"" ନାମକ ଏକ ପ୍ରସିଦ୍ଧ ସ୍ଥାନ ରହିଛି ଯାହା ଗୁରୁ ନାନକ ଦେବଜୀଙ୍କ ପ୍ରତି ସମର୍ପିତ ଏବଂ ଏହା ତାଙ୍କ କଥା ଆମକୁ ମନେ ପକାଇଦିଏ"
"During one Udaasi, Gurunanak Dev Ji travelled north to Kashmir and neighboring areas",ଗୋଟିଏ ଉଦାସୀ ଯାତ୍ରା ସମୟରେ ଗୁରୁନାନକ ଜୀ ଉତରରେ କାଶ୍ମୀର ଏବଂ ଏହାର ଆଖପାଖ ଅଂଚଳକୁ ମଧ୍ୟ ଯାତ୍ରା କରିଥିଲେ
This forged a strong bond between Sikh followers and Kashmir,ଏହାଦ୍ୱାରା ଶିଖ୍ ଅନୁଗାମୀ ଏବଂ କାଶ୍ମୀର ମଧ୍ୟରେ ଖୁବ୍ ମଜଭୁତ ସମ୍ପର୍କ ସ୍ଥାପିତ ହେଲା
Guru Nanak Dev Ji also went to Tibet where people accorded him the status of a Guru,ଗୁରୁନାନକ ଦେବଜୀ ତିବତ୍ ମଧ୍ୟ ଯାଇଥିଲେ
"He is revered in Uzbekistan too, which he had visited","ସେ ଉଜବେକିସ୍ତାନରେ ମଧ୍ୟ ପୂଜନୀୟ, ଯେଉଁଠିକୁ ସେ ଯାତ୍ରା କରିଥିଲେ"
"During one Udaasi, he widely travelled to Islamic countries including Saudi Arabia, Iraq and Afghanistan","ନିଜର ଗୋଟିଏ ଉଦାସୀ ଯାତ୍ରା ସମୟରେ ସେ ବହୁଳ ଭାବରେ ଇସ୍ଲାମିକ ଦେଶଗୁଡ଼ିକର ଯାତ୍ରା ମଧ୍ୟ କରିଥିଲେ, ଯେଉଁଥିରେ ସାଉଦି ଆରବ, ଇରାକ୍ ଏବଂ ଆଫଗାନିସ୍ତାନ ମଧ୍ୟ ସାମିଲ ରହିଛି"
"He secured a revered place in the hearts of millions who followed his messages with complete devotion, a practice that continues even in the present times","ସେ ସେହି ଲକ୍ଷ ଲକ୍ଷ ଲୋକଙ୍କ ହୃଦୟରେ ବାସ କରୁଛନ୍ତି, ଯେଉଁମାନେ ସମ୍ପୂର୍ଣ୍ଣ ଶ୍ରଦ୍ଧା ସହ ତାଙ୍କ ଉପଦେଶଗୁଡ଼ିକର ପାଳନ କରିଆସିଛନ୍ତି ଏବଂ ଆଜି ମଧ୍ୟ କରୁଛନ୍ତି"
"Just a few days ago, Ambassadors of approximately eightyfive countries went to Amritsar from Delhi","ଏଇ କିଛିଦିନ ତଳେ, ପ୍ରାୟ 85ଟି ଦେଶର ରାଷ୍ଟ୍ରଦୂତ ଦିଲ୍ଲୀରୁ ଅମୃତସର ଯାତ୍ରା କରିଥିଲେ"
"There in the Golden Temple itself, they undertook a holy Darshan, commemorating the 550th Prakash Parv of Guru Nanak Devji",ଗୁରୁନାନକ ଦେବଜୀଙ୍କ 550ତମ ପ୍ରକାଶ ପର୍ବ ଉପଲକ୍ଷେ ଏହା ଆୟୋଜିତ ହୋଇଥିଲା
"Besides Darshan, all these Ambassadors had the opportunity to know more about Sikh traditions and culture","ଏତେ ସଂଖ୍ୟକ ରାଷ୍ଟ୍ରଦୂତ ସେଠାରେ ସ୍ୱର୍ଣ୍ଣ ମନ୍ଦିରର ଦର୍ଶନ ତ କଲେ, ଏହାସାଙ୍ଗକୁ ସେମାନେ ଶିଖ୍ ପରମ୍ପରା ଏବଂ ସଂସ୍କୃତି ସମ୍ପର୍କରେ ଜାଣିବାର ସୁଯୋଗ ମଧ୍ୟ ପାଇଲେ"
"Following that, many Ambassadors shared those photos on social media, writing about their glorious experiences",ଏହାପରେ ରାଷ୍ଟ୍ରଦୂତମାନେ ସୋସିଆଲ ମିଡିଆରେ ଏହାର ବହୁ ଫଟୋ ଶେୟାର କରିଥିଲେ
It's my devout wish to imbibe Guru Nanak Dev Ji's thoughts and ideals into our lives; may we be all the more inspired to make it happen,ଗୁରୁ ନାନକ ଦେବଜୀଙ୍କ ପ୍ରଭାବ କେବଳ ଭାରତରେ ନୁହେଁ ବରଂ ସାରା ବିଶ୍ୱରେ ରହିଛି
"My dear brothers and sisters, I am sure all of you remember the significance of the 31st of October","ମୋର ପ୍ରିୟ ଭାଇ ଓ ଭଉଣୀମାନେ, ମୋର ବିଶ୍ୱାସ ଯେ, ଅକ୍ଟୋବର ମାସର 31 ତାରିଖ ଆପଣମାନଙ୍କର ନିଶ୍ଚୟ ମନେଥିବ"
"This day marks the birth anniversary of the Iron Man of India, Sardar Vallabhbhai Patel, the unifying force in bonding us as a Nation; our Hero","ଏହିଦିନ ଭାରତର ସେହି ଲୌହମାନବ, ସର୍ଦ୍ଦାର ବଲ୍ଲଭଭାଇ ପଟେଲଙ୍କ ଜନ୍ମଦିନ, ଯିଏ ଦେଶକୁ ଏକତାର ସୂତ୍ରରେ ଗୁନ୍ଥିବାର ମହାନାୟକ ଥିଲେ"
"On the one hand Sardar Patel, possessed the rare quality of uniting people; on the other, he was able to strike a balance with people who were not in ideological agreement with him","ସର୍ଦ୍ଦାର ପଟେଲଙ୍କ ଭିତରେ ଗୋଟିଏ ପଟେ ଲୋକଙ୍କୁ ଏକଜୁଟ କରିବାର ଅଦ୍ଭୁତ କ୍ଷମତା ଥିଲା, ଅନ୍ୟପଟେ ସେ ବିଚାରଗତ ମତାନ୍ତର ଥିବା ଲୋକଙ୍କ ସହ ମଧ୍ୟ ତାଳମେଳ ପ୍ରତିଷ୍ଠା କରିପାରୁଥିଲେ"
Sardar Patel used to observe even the minutest of things indepth; assessing and evaluating them simultaneously,"ସର୍ଦ୍ଦାର ପଟେଲ ସୂକ୍ଷ୍ମାତିସୂକ୍ଷ୍ମ କଥାଗୁଡ଼ିକୁ ମଧ୍ୟ ଗୁରୁତ୍ୱର ସହ ଗ୍ରହଣ କରୁଥିଲେ, ପରଖୁଥିଲେ"
He was a 'Man of Detail' in the true sense of the term,ପ୍ରକୃତ ଅର୍ଥରେ ସେ 'ମ୍ୟାନ ଅଫ ଡିଟେଲ' ଥିଲେ
"Along with that, he was also adept at organising skills",ତା'ସହିତ ସେ ସଂଗଠନ କୌଶଳରେ ମଧ୍ୟ ନିପୁଣ ଥିଲେ
Chalking out plans and devising strategies was his core forte',ଯୋଜନା ପ୍ରସ୍ତୁତ କରିବା ଏବଂ ରଣକୌଶଳ ପ୍ରସ୍ତୁତ କରିବାରେ ସେ ସିଦ୍ଧହସ୍ତ ଥିଲେ
"When we read and hear about Sardar Saheb's style of working, we come to know of the sheer magnitude of the meticulousness in his planning","ସର୍ଦ୍ଦାର ସାହେବଙ୍କ କାର୍ଯ୍ୟଶୈଳୀ ସମ୍ପର୍କରେ ଯେତେବେଳେ ପଢ଼ୁ, ଶୁଣୁ, ସେତେବେଳେ ଜଣାପଡ଼େ ଯେ, ତାଙ୍କର ଯୋଜନା ପ୍ରସ୍ତୁତି କେତେ ସୁଦୃଢ଼ ରହୁଥିଲା"
"In 1921, in the Congress Session in Ahmedabad, thousands of delegates from across the country were slated to participate",1921ରେ ଅହମଦାବାଦଠାରେ କଂଗ୍ରେସ ଅଧିବେଶନରେ ଯୋଗ ଦେବାପାଇଁ ସାରା ଦେଶରୁ ହଜାର ହଜାର ସଂଖ୍ୟାରେ ପ୍ରତିନିଧିଙ୍କର ପହଞ୍ଚିବାର ଥିଲା
Sardar Patel was entrusted with overlooking all the arrangements,ଅଧିବେଶନର ସମସ୍ତ ବ୍ୟବସ୍ଥାର ଦାୟିତ୍ୱ ସର୍ଦ୍ଦାର ପଟେଲଙ୍କ ଉପରେ ନ୍ୟସ୍ତ ଥିଲା
He utilized this opportunity in improving the city's water supply network,ଏହି ସୁଯୋଗର ଉପଯୋଗ ସେ ସହରରେ ଜଳ ଯୋଗାଣର ନେଟୱର୍କକୁ ସୁଧାରିବା ପାଇଁ ମଧ୍ୟ କରିଥିଲେ
