text,te_text
"Hence, the Indian Diaspora has a significant role to play in promoting festival tourism in India",అందుకే భారత్ లో ఫెస్టివల్ టూరిజం ను ప్రోత్సహించడంలో దేశానికి వెలుపల నివసించే భారతీయుల పాత్ర ముఖ్యమైనది
"My dear countrymen, in the previous episode of Mann Ki Baat, we had decided to do something different this Diwali","నా ప్రియ దేశవాసులారా, క్రితం సారి మన్ కీ బాత్ లో ఈ దీపావళికి కొత్తగా ఏదైనా చేద్దామని మనం నిశ్చయించాము"
"I had urged all of you to celebrate India's NariShakti, the power and achievement of women, thereby felicitating the Lakshmi of India","నేను చెప్పాను రండి, మనమంతా ఈ దీపావళికి భారతీయ నారీశక్తి ని, వారి సాధనలను సెలబ్రేట్ చేసుకుందాము అని"
"And within no time, there followed a slew of innumerable inspirational stories on social media",ఇలా చెప్పాక చూస్తూండగానే సామాజికమాధ్యమాలలో లెక్కలేనన్ని స్ఫూర్తిదాయకమైన కథలు వరుసగట్టాయి
"Kodipaka Ramesh from Warangal has written on Namo App""My mother is my strength","వరంగల్ లోని కోడిపాక రమేశ్, మా అమ్మ నా శక్తి అని నమో యాప్ లో వ్రాశారు 1990 లో మా నాన్నగారు మరణించాక, మా అమ్మ తన ఐదుగురు కొడుకుల బాధ్యత తీసుకుంది"
"In 1990, when my father expired, the responsibility to raise five sons fell on her shoulders","వరంగల్ లోని కోడిపాక రమేశ్, మా అమ్మ నా శక్తి అని నమో యాప్ లో వ్రాశారు 1990 లో మా నాన్నగారు మరణించాక, మా అమ్మ తన ఐదుగురు కొడుకుల బాధ్యత తీసుకుంది"
"Today, all five brothers are doing well in their respective professions",ఈనాడు మా అన్నదమ్ములం మంచి ప్రొఫెషన్ లలో ఉన్నాము
My mother is God to me,మా అమ్మ మాకు దైవం
She is the Lakshmi of India in every sense of the term,ఆమె నిజంగా భారతీయ లక్ష్మి
""" Ramesh ji , respectful greetings to your mother","రమేశ్ గారూ, మీ తల్లి గారికి నా ప్రణామములు"
"Geetika Swami, who is active on Twitter, says that for her, Major Khushbu Kanwar, daughter of a bus conductor, who has led an all women contingent of Assam Rifles, is the Lakshmi of India","ట్విట్టర్ లో యాక్టివ్ గా ఉండే గీతికాస్వామి అంటున్నారు, ఒక బస్ కండక్టర్ కూతురు మేజర్ ఖుష్ బూ కన్వర్ వారి దృష్టిలో 'భారతీయ లక్ష్మి' అని"
"For Kavita Tiwari, her daughter is the Lakshmi of India, her strength",కవితా తివారీ గారికి వారి శక్తి వారి కూతురు భారతీయ లక్ష్మి
She is proud of her daughter's excellent painting ability,తన కూతురు మంచి పెయింటింగ్స్ వేస్తుందని వారికి ఎంతో గర్వంగా అనిపిస్తుంది
She has also secured a good rank in the CLAT exam,ఆమె క్లాట్‌ పరీక్షలో మంచి రాంక్ తెచ్చుకుంది
Whereas Megha Jain has mentioned that a 92 year old woman has been offering free drinking water to passengers at Gwalior Railway Station,"మేఘా జైన్ రాస్తున్నారు, 92 ఏండ్ల ఒక వృద్ధమహిళ ఎన్నో ఏళ్ళనుంచి గ్వాలియర్ రైల్వేస్టేషంలో ప్రయాణీకులకు ఉచితంగా త్రాగునీరు అందిస్తోంది"
Megha Ji is truly inspired by the humility and compassion of this Lakshmi of India,"మేఘాజీ ఈ భారతీయ లక్ష్మి యొక్క వినమ్రత, కరుణ వల్ల ఎంతో స్ఫూర్తి పొందారు"
Many such stories have been shared by people,ఇటువంటి ఎన్నో కథలను ప్రజలు షేర్ చేస్తున్నారు
"Do read them, get inspired and share similar instances","మీరు తప్పక చదవండి, స్ఫూర్తి పొందండి"
I respectfully salute all the Lakshmis of India,ఈ అందరు భారతీయ లక్ష్ములకు నా ఆదరపూర్వక ప్రణామములు
"My dear countrymen, the well known 17th century poetess Sanchi Honnamma has penned a poem in Kannada that embodies the same thought, the same words pertaining to every Lakshmi of India that we referred to","నా ప్రియ దేశవాసులారా, 17 వశతాబ్దంలో సుప్రసిద్ధ కవయిత్రి సాంచి హొన్నమ్మ ఆకాలంలో కన్నడ భాషలో ఒక కవిత వ్రాశారు"
One feels the foundation of the idea was laid in the 17th century itself,"ఆ భావాలు, ఆ పదాలు, భారతీయ లక్ష్ములందరికీ, ఇప్పుడు మనం చెప్పుకున్నవారందరికీ పునాది అక్కడే రచింపబడిందనుకుంటాను"
"You will notice the beauty of word, sentiment and thought in this poem in Kannada","ఎంత గొప్ప పదాలు, ఎంత గొప్ప భావాలు, ఎంత ఉత్తమమైన ఆలోచనలు, కన్నడలో కవిత ఇలా ఉంది"
Penninda permegondanu himavantanu,పెణ్ణింద పెర్మె గొండను హిమవంతను
Penninda broohu perchidanu,పెణ్ణింద భృగు పెర్చిదను
Penninda janakaraayanu jasuvalendanu,పెణ్ణింద జనకరాయను జసవడెదను
"Which means, Himwant, Lord Mount attained fame on account of daughter Parvati, Rishi Brighu on account of his daughter Lakshmi and King Janak because of daughter Sita","అనగా హిమవంతుడు అంటే పర్వత రాజు తన కూతురు పార్వతి వల్ల, భృగు మహర్షి తన కూతురు లక్ష్మి వల్ల, జనకమహారాజు తన కూతురు సీత వల్ల ప్రసిద్ధులైనారు అని"
"Our daughters are our pride...their prodigious virtuosity cradles our social fabric, ensuring its bright future","ఈ పుత్రికల మాహాత్మ్యం వల్లనే మన సమాజానికి బలమైన గుర్తింపు, ఉజ్జ్వల భవిష్యత్తు"
"My dear countrymen, the 12th of November, 2019 is the day when the 550th Prakashotsav of Guru Nanak dev ji will be celebrated across the world","నా ప్రియ దేశవాసులారా, 12 నవంబర్ 2019 నాడు ప్రపంచమంతటా శ్రీ గురునానక్ దేవ్ గారి 550 వ ప్రకాశోత్సవము జరుపుకుంటారు"
The luminescence of Guru Nanak Dev ji's influence can be felt not only in India but around the world,"గురునానక్ ప్రభావం భారత్ లోనే కాదు, ప్రపంచమంతటా ఉంది"
Many of our Sikh brothers and sisters settled in other countries committedly follow Guru Nanak dev ji's ideals,మళ్ళీ ఒకసారి నేను శిరసు వంచి గురునానక్ దేవ్ గారికి ప్రణామాలు చేస్తున్నాను
I can never forget my visits to Gurudwaras in Vancouver and Tehran,"నేను వైంకూవర్ వాంకోవర్‌, టెహరాన్ గురుద్వారాలకు నేను చేసిన యాత్రను ఎప్పుడూ మరువలేను"
"There is much about Guru Nanak Dev ji that I can share with you, but it will require many an episode of Mann ki Baat","శ్రీ గురునానక్ దేవ్ గారి గురించి నేను మీకు ఎంతో చెప్పగలను, కానీ దానికి మన్ కీ బాత్ యొక్క అనేక ఎపిసోడ్ లు కావలసి వస్తాయి"
He accorded the highest significance to the spirit of service,వారు సేవను సర్వోచ్చ స్థానంలో నిలిపారు
Guru Nank Dev ji firmly believed that any service done selflessly was beyond evaluation,గురునానక్ దేవ్ గారు నిస్వార్థ భావంతో చేసిన సేవ అమూల్యమైనదని నమ్మేవారు
He stood firm against social ills such as untouchability,వారు అంటరానితనం వంటి సాంఘిక దురాచారాలను తీవ్రంగా వ్యతిరేకించారు
Sri Guru Nanak Dev ji radiated his message to all corners of the world,శ్రీ గురునానక్ దేవ్ గారు తమ సందేశాన్ని ప్రపంచంలోని దూరదేశాల వరకూ ప్రసరింపచేశారు
He was the widest travelled of those times,తమ కాలంలో అధికంగా యాత్రలు చేసేవారిలో వారొకరు
"And wherever he went he won hearts through his straightforwardness, humility and simplicity","అనేక ప్రాంతాలకు వెళ్ళారు, వెళ్ళినచోటల్లా తమ నిరాడంబరత, వినమ్రత, సరళత లతో అందరి మనసులను గెలుచుకున్నారు"
Guru Nanak Ji undertook many significant spiritual journeys called 'Udaasi',గురునానక్ దేవ్ అనేక ముఖ్యమైన ధార్మిక యాత్రలను చేశారు
"Carrying the message of harmony and equality, he travelled north, south, east and west, meeting people, saints and sages","సద్భావన, సమానత సందేశాలను తీసుకొని వారు ఉత్తరం దక్షిణం తూర్పు పడమర అన్ని దిక్కులకూ వెళ్ళారు, ప్రతి చోటా ప్రజలతో, సాధువులతో, ఋషులతో కలిశారు"
It is said that the revered Assamese saint Shankar Dev too was inspired by him,అస్సాం యొక్క సుప్రసిద్ధ సాధువు శంకర్ దేవ్ కూడా వారితో స్ఫూర్తి పొందారని నమ్ముతారు
He also travelled to the holy land of Haridwar,వారు పవిత్ర హరిద్వార్ యాత్ర చేశారు
There is a holy place in Kashi named 'Gurubagh Gurudwara',కాశీలో గురుబాగ్ గురుద్వారా ఒక పవిత్ర స్థలం
It is believed that Guru Nanak Dev Ji had halted there,శ్రీ గురునానక్ దేవ్ అక్కడ బస చేశారని చెప్తారు
He also went to Buddhist holy sites such as Rajgir and Gaya,"వారు బౌద్ధ ధర్మానికి చెందిన 'రాజ్ గిర్', 'గయ' వంటి ధార్మిక స్థలాలకు కూడా వెళ్ళారు"
"His journeys to the south took him to Sri Lanka, as well",దక్షిణాన గురునానక్ దేవ్ శ్రీలంక వరకూ యాత్ర చేశారు
"During his Yatra to Bidar, Karnataka, he devised a solution for water woes the place was grappling with",కర్ణాటకలోని బీదర్ యాత్రాసమయంలో గురునానక్ దేవ్ అక్కడి నీటి సమస్యను పరిష్కరించారు
"Gurunanak Jhira Sahib is a famous place in Bidar dedicated to him, cherishing reminiscences of him",బీదర్ లో 'గురునానక్ దేవ్ జీరా సాహెబ్' పేరుతో ఒక ప్రసిద్ధ స్థలముంది
"During one Udaasi, Gurunanak Dev Ji travelled north to Kashmir and neighboring areas",ఒక 'ఉదాసీ' కాలంలో గురునానక్ దేవ్ ఉత్తరాన కాశ్మీర్ ఆ చుట్టు ప్రక్కల ప్రాంతాలను దర్శించారు
This forged a strong bond between Sikh followers and Kashmir,"దీనివల్ల సిక్ఖు అనుచరులకు, కాశ్మీర్ కు బలమైన సంబంధాలు ఏర్పడ్డాయి"
Guru Nanak Dev Ji also went to Tibet where people accorded him the status of a Guru,గురునానక్ దేవ్ గారు టిబెట్ కూడా వెళ్ళారు
"He is revered in Uzbekistan too, which he had visited","వారు ఉజ్బెకిస్తాన్ యాత్ర చేశారు ,అక్కడ కూడా పూజ్యులే"
"During one Udaasi, he widely travelled to Islamic countries including Saudi Arabia, Iraq and Afghanistan",ఒక 'ఉదాసీ' లో వారు ఇస్లామిక్ దేశాలకు కూడా పెద్ద ఎత్తున యాత్రలు చేశారు
"He secured a revered place in the hearts of millions who followed his messages with complete devotion, a practice that continues even in the present times",వారు లక్షలాది ప్రజల మనసుల్లో కొలువై ఉన్నారు
"Just a few days ago, Ambassadors of approximately eightyfive countries went to Amritsar from Delhi",కొన్ని రోజుల క్రితమే దాదాపు 85 దేశాల రాయబారులు/ప్రతినిధులు దిల్లీ నుంచి అమృత్ సర్ వెళ్ళారు
"There in the Golden Temple itself, they undertook a holy Darshan, commemorating the 550th Prakash Parv of Guru Nanak Devji","అక్కడ అమృత్ సర్ స్వర్ణ దేవాలయాన్ని దర్శించారు, గురునానక్ దేవ్ గారి 550 వ ప్రకాశోత్సవానికి హాజరైనారు"
"Besides Darshan, all these Ambassadors had the opportunity to know more about Sikh traditions and culture","అక్కడ ఈ అందరు ప్రతినిధులు గోల్డెన్ టెంపుల్ దర్శనం చేయడమే కాదు, సిక్ఖు సంప్రదాయాలు, సంస్కృతి గురించి తెలుసుకునే అవకాశం పొందారు"
"Following that, many Ambassadors shared those photos on social media, writing about their glorious experiences",ఆ తర్వాత అనేక మంది ప్రతినిధులు సామాజిక మాధ్యమాలలో అక్కడి ఫోటోలను పంచుకున్నారు
It's my devout wish to imbibe Guru Nanak Dev Ji's thoughts and ideals into our lives; may we be all the more inspired to make it happen,"గురునానక్ దేవ్ గారి 550 వ ప్రకాశోత్సవం వారి ఆలోచనలను, ఆదర్శాలను మన జీవనంలోకి తెచ్చుకోవడానికి ఎక్కువ స్ఫూర్తిని కలిగించాలని నా అభిలాష"
"My dear brothers and sisters, I am sure all of you remember the significance of the 31st of October","నా ప్రియ సోదరసోదరీమణులారా, అక్టోబర్ 31 మీకందరికీ తప్పక గుర్తు ఉంటుందని నా నమ్మకం"
"This day marks the birth anniversary of the Iron Man of India, Sardar Vallabhbhai Patel, the unifying force in bonding us as a Nation; our Hero","నా ప్రియ దేశవాసులారా, సర్దార్ పటేల్ దేశాన్ని ఐక్యతా సూత్రంలో కూర్చారు"
"On the one hand Sardar Patel, possessed the rare quality of uniting people; on the other, he was able to strike a balance with people who were not in ideological agreement with him","సర్దార్ పటేల్ ప్రజలను ఒక్కటి చేసే అద్భుత శక్తిని కలిగి ఉండడమే కాదు, భిన్నాభిప్రాయాలు కలిగిన వారితో కూడా సాంగత్యం కలిగి ఉండేవారు"
Sardar Patel used to observe even the minutest of things indepth; assessing and evaluating them simultaneously,సర్దార్ పటేల్ కు ఈ వార్త తెలిసిన వెంటనే ఏమాత్రం సమయం వృథా చేయకుండా వారు కఠిన చర్యలు చేపట్టారు
He was a 'Man of Detail' in the true sense of the term,వారు సరైన అర్థంలో వారిని 'మ్యాన్ ఆఫ్ డీటైల్' అనవచ్చు
"Along with that, he was also adept at organising skills","ప్రణాళికలు తయారుచేయడంలో, రణనీతి తయారుచేయడంలో వారు నైపుణ్యం కలిగినవారు"
Chalking out plans and devising strategies was his core forte',"ప్రణాళికలు తయారుచేయడంలో, రణనీతి తయారుచేయడంలో వారు నైపుణ్యం కలిగినవారు"
"When we read and hear about Sardar Saheb's style of working, we come to know of the sheer magnitude of the meticulousness in his planning","సర్దార్ సాహెబ్ కార్యశైలి గురించి చదివితే, వింటే వారి ప్లానింగ్ ఎంత బలంగా ఉంటుందో తెలుస్తుంది"
"In 1921, in the Congress Session in Ahmedabad, thousands of delegates from across the country were slated to participate",1921 లో అహ్మదాబాద్ లో కాంగ్రెస్ సమావేశం లో పాల్గొనడానికి దేశమంతటి నుంచి వేల సంఖ్యలో ప్రతినిధులు రావలసి ఉంది
Sardar Patel was entrusted with overlooking all the arrangements,సర్దార్ పటేల్ కు ఈ వార్త తెలిసిన వెంటనే ఏమాత్రం సమయం వృథా చేయకుండా వారు కఠిన చర్యలు చేపట్టారు
He utilized this opportunity in improving the city's water supply network,ఆ సందర్భాన్ని వారు పట్టణంలో నీటి సరఫరా యొక్క నెట్ వర్క్ ని మెరుగు పరచడానికి కూడా వినియోగించుకున్నారు
He ensured that not a single person would face a problem on account of water,ఎవరికీ నీటి కొరత రాకుండా ఉండేలా ఏర్పాటు చేశారు
"Not just that, he was also concerned about the safety and security of the delegates' shoes and baggage","ఇంతే కాదు, సమావేశ స్థలంలో ఏ యొక్క ప్రతినిధి యొక్క వస్తువులు, చెప్పులు దొంగతనం కాకుండా ఉండేలా వారేం ఏర్పాటు చేశారో తెలుసుకుంటే మీరు ఆశ్చర్య పోతారు"
"To ensure that, what he did will surprise you",ఆ రోజులను కొంచెం గుర్తు చేసుకోండి
He contacted farmers and urged them to craft khadi bags,"వారు రైతులతో సంప్రదించి, ఖాదీ సంచులను తయారు చేయించారు"
These were made and sold to the delegates,"రైతులు సంచులు తయారుచేసి, ప్రతినిధులకు అమ్మారు"
"They carried the bags with their shoes inside, free from any tension of the footwear getting stolen",ఈ సంచులలో చెప్పులు పెట్టుకొని తమతో పాటు ఉంచుకున్నప్పుడు ప్రతినిధులకు చెప్పులు పోతాయేమోనన్న ఆందోళణ పోయింది
"On the other hand, it led to a major rise in the sale of khadi",అదే సమయంలో ఖాదీ విక్రయం కూడా మెరుగు పడింది
Our country will always be indebted to Sardar Patel for his steller role in the Constituent Assembly,రాజ్యాంగ సభలో ఉల్లేఖనీయ పాత్ర వహించినందుకు సర్దార్ పటేల్ కు మన దేశం ఎప్పుడూ ఋణపడి ఉంటుంది
He strove to ensure enshrinement of fundamental rights that obliterated any possibility of discrimination on the basis of caste and community,"కులం, సంప్రదాయం ఆధారంగా ఏర్పడే భేదభావాలకు అవకాశం ఉండని విధంగా వారు ప్రాథమిక హక్కులను నిర్ధారించే ముఖ్యమైన పని చేశారు"
"Friends, all of us know that as India's first home minister, Sardar Patel undertook the colossal, historic task of integrating Princely states","సహచరులారా, భారత ప్రథమ హోం శాఖ మంత్రిగా సర్దార్ వల్లభభాయి పటేల్ సంస్థానాలను విలీనం చేసే ఒక గొప్ప భగీరథ, చారిత్రాత్మక కార్యం నిర్వహించారని మనకందరికీ తెలుసు"
Scrutinizing the minutest of events closely was his rare quality,"ప్రతి చిన్న విషయాన్ని కూడా లోతుగా పరిశీలించేవారు, పరీక్షించేవారు"
"On the one hand, he concentrated on Hyderabad, Junagarh and other States; on the other, he was watching far flung Lakshadweep intently","ఒకవైపు వారి దృష్టి హైదరాబాద్, జూనాగఢ్, ఇంకా ఇతర రాష్ట్రాలమీద ఉన్నా, ఇంకోవైపు సుదూర దక్షిణంలోని లక్షద్వీప్ మీద కూడా ఉండింది"
"Actually, when we refer to Sardar Patel's endeavour, his role in the unification of just a few notable States is discussed",నిజానికి సర్దార్ వల్లభభాయి పటేల్ చేసిన దేశం యొక్క ఏకీకరణ గురించి ఎప్పుడు మాట్లాడినా కొన్ని ముఖ్య ప్రాంతాల లో వారి పాత్ర గురించే చర్చ జరుగుతూ ఉంటుంది
"He played a far more significant role, when it came to a small region such as Lakshadweep too",లక్షద్వీప్ వంటి చిన్న ప్రాంతం విషయంలో కూడా వారు ముఖ్య పాత్ర నిర్వహించారు
Lakshadweep is one of the most beautiful landscapes in India,లక్షద్వీప్ అనేది కొన్ని ద్వీపాల సమూహమని మీకు బాగా తెలుసు
"Soon after Partition in 1947, our neighbour had cast an eye on Lakshadweep; a ship bearing their flag was sent there",1947 లో భారత్ విభజన తర్వాత మన పొరుగు దేశపు దృష్టి లక్షద్వీప్ మీద ఉంది
"When Sardar Patel was informed of this, he wasted no time in initiating stern action",సర్దార్ పటేల్ కు ఈ వార్త తెలిసిన వెంటనే ఏమాత్రం సమయం వృథా చేయకుండా వారు కఠిన చర్యలు చేపట్టారు
"He urged the Mudaliar brothers, Arcot Ramaswamy Mudaliar and Arcot Laxman Swamy Mudaliar to immediately undertake a mission with people of Travancore to Lakshadweep and take the lead in unfurling the Tricolour there","మొదలియార్ సోదరులు, ఆర్కాట్ రామస్వామి మొదలియార్ మరియు ఆర్కాట్ లక్ష్మణస్వామి మొదలియార్ తో చెప్పారు ట్రావెన్ కోర్ ప్రజలతో కలిసి ఉద్యమం చేసి జెండా ఎగరేయమని చెప్పారు"
"Following his orders, the Tricolour was promptly unfurled there and the nefarious dreams of the neighbour of annexing Lakshadweep were decimated within no time","వారి ఆదేశంతో వెంటనే అక్కడ త్రివర్ణ పతాకం ఎగరవేశారు, లక్షద్వీప్ ను ఆక్రమించే పొరుగువారి కుట్రలనన్నిటినీ భగ్నం చేశారు"
"After this incident, Sardar Patel asked the Mudaliar brothers to personally ensure all assistance for development of Lakshadweep",ఆ తర్వాత మొదలియార్ సోదరులను లక్షద్వీప్ అభివృద్ధి కొరకు సకలప్రయత్నాలను చేయమని వారు కోరారు
"Today, Lakshadweep is contributing significantly in India's progress",నేడు లక్షద్వీప్ భారతదేశ ప్రగతికి తన ముఖ్య పాత్రను నిర్వహిస్తోంది
It is an attractive tourist destination too,ఇది ఒక ఆకర్షణీయమైన పర్యాటక ప్రాంతం కూడా
I hope you get the opportunity to visit the picturesque islands and its pristine beaches,"ఈ అందమైన ద్వీపాలను, సముద్రతీరాలను మీరంతా సందర్శిస్తారని నేను విశ్వసిస్తాను"
"My dear countrymen, the 31st of October, 2018, is the day when the 'Statue of Unity',in memory of Sardar Saheb was dedicated to the nation and the world","నా ప్రియ దేశవాసులారా, 31 అక్టోబర్ 2018 న సర్దార్ పటేల్ స్మృత్యర్థం తయారైన 'స్టాట్యూ ఆఫ్ యూనిటీ' ఏకతామూర్తి దేశానికీ ప్రపంచానికీ అంకితం చేయబడింది"
It is the tallest statue in the world,ఇది ప్రపంచంలోనే అన్నిటికన్నా ఎత్తైన విగ్రహం
It is double in height compared to the 'Statue of Liberty' located in the US,అమెరికాలోని 'స్టాట్యూ ఆఫ్ లిబర్టీ' కన్నా ఇది రెండింతలు ఎత్తైనది
The distinction of having the world's highest statue fills every Indian with pride; the head of every Indian is held high,ప్రపంచంలో అన్నిటికన్న ఎత్తైన విగ్రహం ప్రతి హిందూస్తానీకి గర్వకారణం
"You will be happy to note that in a year, more than 26 lakh tourists visited the 'Statue of Unity'",ఒక సంవత్సరంలోగా 26 లక్షలకు పైగా పర్యాటకులు ఈ 'స్టాట్యూ ఆఫ్ యూనిటీ' దర్శనార్థం వచ్చారని తెలిస్తే మీరు చాలా సంతోషిస్తారు
This means that an average of eight and a half thousand people witnessed the grandeur of the 'Statue of Unity' every day,ఈ లెక్కన ప్రతిరోజూ సగటున ఎనిమిదిన్నర వేల మంది 'స్టాట్యూ ఆఫ్ యూనిటీ' యొక్క వైభవాన్ని దర్శించారు
The reverence and devotion for Sardar Vallabhbhai Patel in their hearts was reflected in the form of homage paid to him,నిజానికి సర్దార్ వల్లభభాయి పటేల్ చేసిన దేశం యొక్క ఏకీకరణ గురించి ఎప్పుడు మాట్లాడినా కొన్ని ముఖ్య ప్రాంతాల లో వారి పాత్ర గురించే చర్చ జరుగుతూ ఉంటుంది
"Besides, at present,it houses many centres of attraction such as Cactus Garden, Butterfly Garden, Jungle Safari, and Children's Nutrition Park, Ekta Nursery, which are all constantly evolving and providing a fillip to the local economy","సర్దార్ వల్లభభాయి పటేల్ పట్ల వారి మనసులోని నమ్మకాన్ని, భక్తిని ప్రకటించారు, అంతేకాక అక్కడ ఇప్పుడు కాక్టస్ గార్డెన్, బటర్ ఫ్లై గార్డెన్, జంగిల్ సఫారీ, చిల్డ్రన్ న్యూట్రిషన్ పార్క్ , ఏకతా నర్సరీ వంటి అనేక ఆకర్షణీయ కేంద్రాలు క్రమంగా వృద్ధి చెందుతూ స్థానిక ఆర్థిక వ్యవస్థకు చేయూతగా ఉన్నాయి"
"Local people are not only getting innovative opportunities of employment but for the convenience of visiting tourists, many villagers are providing facilities like home stays",పర్యాటకుల సౌకర్యార్థం అక్కడి అనేక గ్రామాల ప్రజలు తమ తమ ఇళ్ళల్లో హోమ్ స్టే సౌకర్యమూ కల్పిస్తున్నారు
And these hosts are being professionally trained in the technique of running a home stay,హోమ్ స్టే సౌకర్యాలు కల్పించే ప్రజలకు ప్రొఫెషనల్ ట్రైనింగ్ కూడా ఇప్పించబడుతున్నది
The locals have now started the cultivation of Dragon fruit and I am sure that it will soon become a major source of livelihood for the people there,అక్కడి ప్రజలు ఇప్పుడు డ్రాగన్ పండ్ల సేద్యం కూడా ప్రారంభించారు
"Friends, for our nation and the constituent states, as well as for the tourism industry, this 'Statue of Unity' can be a subject of research","సహచరులారా, దేశం కోసం, అన్ని రాష్ట్రాల కోసం, పర్యాటక పరిశ్రమ కోసం, 'స్టాట్యూ ఆఫ్ యూనిటీ' ఒక అధ్యయనాంశం అవుతుంది"
We are all witness to the fact that how within a year a place developed as a world famous tourism destination,ఒక సంవత్సర కాలంలోపలే ఒక ప్రాంతం విశ్వప్రసిద్ధ పర్యాటక క్షేత్రం గా ఎలా వృద్ధి చెందుతుందో దీనికి మనమే సాక్షి
People arrive there from the country and abroad,అక్కడికి దేశవిదేశాల నుంచి ప్రజలు వస్తారు
"And one after the other, ancillary services like transport, lodging, guides and ecofriendly services are getting inducted by themselves","రవాణా, వసతి, గైడ్స్, ఎకోఫ్రెండ్లీ వ్యవస్థలు ఒకదాని తర్వాత ఒకటి అనేక వ్యవస్థలు వాటంతటవే వృద్ధి చెందుతున్నాయి"
A large economy is developing and people are generating facilities as per the requirement of the tourists,పర్యాటకుల అవసరాలకనుగుణంగా ప్రజలు సౌకర్యాలు ఏర్పాటు చేస్తున్నారు
The government is also playing its role,ప్రభుత్వం తన పాత్ర నిర్వహిస్తోంది
"Friends, which Indian will not be imbued with pride for the fact that recently, Time magazine has included the 'Statue of Unity'in its list of 100 important tourist destinations around the world",సహచరులారా! ఈమధ్య టైమ్ మాగజైన్ ప్రపంచంలోని 100 ముఖ్యమైన టూరిస్ట్ డెస్టినేషన్ లలో స్టాట్యూ ఆఫ్ యూనిటీ కి ముఖ్యస్థానం ఇచ్చారన్న విషయం పట్ల ఏ హిందూస్తానీ గర్వ పడకుండా ఉండగలడు! మీరంతా మీ అమూల్యమైన సమయంలో కొంత సమయం వెచ్చించి 'స్టాట్యూ ఆఫ్ యూనిటీ' ని చూడడానికి వెళ్తారని నేను ఆశిస్తున్నాను
