context,ory_Orya
"In 1989 when there was a roaring movement for celebration of 300 years of Calcutta some eminent personalities of Howrah framed a society titled 'Howrah Jela Itihas Pranayan, Unnayan 0 Smarak Samity' and Asitbabu became the President of this Society. The main purpose of the Samity was to pen down a complete history of Howrah, the twin city of Kolkata. Professor Asitkumar Bandyopadhyay played pioneering role in compiling the complete history of his hometown Howrah titled as Howrah Saharer Itibrrito (First and Second Volume) in 1994 & 1995.","ପ୍ରଫେସର ଅସିତ୍‌କୁମାର ବନ୍ଦୋପାଧ୍ୟାୟ ନିଜ ଜନ୍ମ ସହର ହାୱଡାର ସମ୍ପୂର୍ଣ୍ଣ ଇତିହାସ ସଙ୍କଳନ କରିବାରେ ମୁଖ୍ୟ ଭୂମିକା ଗ୍ରହଣ କରିଥିଲେ, ଯାହା 'ହାୱଡା ସହରେର୍ ଇତିବୃତ୍ତୋ' (ପ୍ରଥମ ଓ ଦ୍ୱିତୀୟ ଖଣ୍ଡ) ଶୀର୍ଷକରେ ୧୯୯୪ ଓ ୧୯୯୫ ମସିହାରେ ପ୍ରକାଶିତ।"
"In western India, many Buddhist caves dating back to the second century B.C.E. onward have been excavated. These include Bhaja, Kanheri, Karla, Ajanta, Ellora, Bedasa, Nashik, Junnar, Pitalkhora, etc. The front of the caitya hall is dominated by the motif of a semi-circular caitya arch with an open front which has a wooden facade and, in some cases, there is no dominating caitya arch window.","ଚୈତ୍ୟ ଭବନର ସାମ୍ନା ଭାଗର ପ୍ରଧାନ ବୈଶିଷ୍ଟ୍ୟସୂଚକ ଉପାଦାନଟି ହେଉଛି କାଷ୍ଠ ନିର୍ମିତ ଖୋଲା ପୂରୋଭାଗ ସହିତ ଏକ ଅର୍ଦ୍ଧ ଗୋଲାକୃତି ଆକାରର ଖିଲାଣ , ଏବଂ କେତେକ ଜାଗାରେ, କୌଣସି ବଡ଼ ଆକାରର ଅର୍ଦ୍ଧ ଗୋଲାକୃତି ଖିଲାଣ ଢାଞ୍ଚାର ଚୈତ୍ୟ ଝରକା ନଥାଏ।"
India has very rich culinary heritage that is embedded in its thousands of years of history. Generations of 'maharaj' and 'khansamas' (as expert chefs have traditionally been called in India) have perfected the recipes over centuries and these recipes have passed through oral tradition over thousands of years. These are not only mouthwatering savories but usually based on strong foundations of wholesome food relevant to the local people in different seasons.,"ଅନେକ ପିଢ଼ି ଧରି 'ମହାରାଜ' ଓ 'ଖାନ୍‌ସମା' (ପାରମ୍ପରିକ ଭାବେ ଏହା ଭାରତରେ ପାରଙ୍ଗମ ପାଚକମାନଙ୍କୁ କୁହା ଯାଇଥାଏ) ମାନେ ଏହି ପାକ ପଦ୍ଧତିଗୁଡ଼ିକୁ ଶହ ଶହ ବର୍ଷ ଧରି ଏକ ଉତ୍କୃଷ୍ଟ ସ୍ତରରେ ପହଞ୍ଚାଇଛନ୍ତି, ଏବଂ ହଜାର ବର୍ଷ ଧରି ଏହି ପଦ୍ଧତିଗୁଡ଼ିକ ମୌଖିକ ପରମ୍ପରା ମାଧ୍ୟମରେ ତିଷ୍ଠି ରହିଛି।"
"It is considered sacrilege to serve any dishes based around pulses or lentils during this feast. The traditional number of courses for the wazwan is thirty-six, though there can be fewer. The preparation is traditionally done by a vasta waza, or head chef, with the assistance of a court of wazas, or chefs.","ଏହାର ପ୍ରସ୍ତୁତି ପାରମ୍ପରିକ ଭାବେ ଜଣେ ବାସ୍ତା ୱାଜା ବା ମୁଖ୍ୟପାଚକଙ୍କ ଦ୍ୱାରା କରାଯାଇଥାଏ, ଏଥିରେ ତାଙ୍କୁ ଏକ ୱାଜା ଦଳ ବା ପାଚକଦଳ ସହାୟତା କରିଥାନ୍ତି।"
"Pav Bhaji: It is a fast food dish from Maharashtra, consisting of a thick vegetable curry (bhaji) usually prepared in butter and served with a soft bread roll (pav). The dish originated in the 1850s as a fast lunchtime dish for textile mill workers in Mumbai but later gained massive popularity. It is now offered at outlets from simple hand carts to formal restaurants in India and abroad.","ପାୱ ଭାଜି: ଏହା ମହାରାଷ୍ଟ୍ରର ଏକ ଫାଷ୍ଟ ଫୁଡ୍ ଖାଦ୍ୟ, ଯେଉଁଥିରେ ସାଧାରଣତଃ ଲହୁଣୀରେ ପ୍ରସ୍ତୁତ ବହଳିଆ ପରିବା ତରକାରୀ (ଭାଜି)କୁ ଏକ ନରମ ପାଉଁରୁଟି ରୋଲ୍‌ (ପାୱ) ସହିତ ପରଷା ଯାଇଥାଏ।"
"Poet-saints who produced literary masterpieces include Chaitanyadeva in Bengali, Surdas in Hindi, Mira Bai in Rajasthani, Jnaneshwar in Marathi and Narsinha Mehta in Gujarati. The contribution of women writers needs special mention. The Kashmiri compositions of Lal Ded and Habba Khatoon are known for their mystical flavour and intense agony of expression, Mirabais compositions in Rajasthani is known for a unique devotional quality, Andals mysticism in Tamil and Akka Mahadevis vachanas in Kannnada are testimonies to the great contribution of women to literature of the time.","ଲାଲ୍ ଦେଦ୍ ଓ ହବା ଖାତୁନ୍‌ଙ୍କ କାଶ୍ମିରୀ ରଚନା ସେଗୁଡ଼ିକର ଆଧ୍ୟାତ୍ମିକ ରସ ଏବଂ ଅଭିବ୍ୟକ୍ତିର ତୀବ୍ର ବେଦନା ପାଇଁ ଜଣାଶୁଣା, ମୀରାବାଈଙ୍କ ରାଜସ୍ଥାନୀ ରଚନା ନିଜ ନିଆରା ଭକ୍ତି ଭାବ ପାଇଁ ପ୍ରସିଦ୍ଧ, ତାମିଲରେ ଅନ୍ଦଲଙ୍କ ରହସ୍ୟବାଦ, ଏବଂ କନ୍ନଡରେ ଆକ୍କା ମହାଦେବୀଙ୍କ ବଚନସବୁ ହେଉଛି ସେହି କାଳର ସାହିତ୍ୟକୁ ନାରୀମାନଙ୍କ ମହାନ ଅବଦାନର ସାକ୍ଷ୍ୟ।"
"The Bagh Caves, consisting of Buddhist mural paintings, are located 97 km from Dhar district of Madhya Pradesh. These rock-cut cave monuments are not natural but were carved over a period of time during the Satvahana period. The Bagh caves, like those at Ajanta, were excavated on a perpendicular sandstone rock face of a hill across the seasonal stream of Baghani.","ବୌଦ୍ଧ ଭିତ୍ତି-ଚିତ୍ରଗୁଡ଼ିକୁ ନେଇ ଗଠିତ ବାଘ ଗୁମ୍ଫା, ମଧ୍ୟପ୍ରଦେଶର ଧାର ଜିଲ୍ଲା ଠାରୁ ୯୭ କି.ମି. ଦୂରରେ ଅବସ୍ଥିତ ।"
"The Hindi terms for the root are mula and pada. The usual meaning of the word mula in Sanskrit literature is the root of a plant or tree; but figuratively the foot or lowest part or bottom of anything. Its other meanings are basis, foundation, cause, origin, etc.","ସଂସ୍କୃତ ସାହିତ୍ୟରେ 'ମୂଳ' ଶବ୍ଦର ସାଧାରଣ ଅର୍ଥ ହେଉଛି ଏକ ଉଦ୍ଭିଦ ବା ଗଛର ଚେର, କିନ୍ତୁ ପ୍ରତୀକାତ୍ମକ ଅର୍ଥରେ, ଏହା ପାଦ ବା କୌଣସି ଜିନିଷର ସବୁଠାରୁ ନିମ୍ନଭାଗ ବା ତଳକୁ ବୁଝାଇ ଥାଏ।"
The Indus Valley Civilisation or Harrapan civilisation spreads across in India extensively. It spread from Alamgirpur in western Uttar Pradesh (in the East) to Sutkagendor in Makaran and Bhagatrav in South Gujarat (in the West) and from Gumla and Ropar (in the North) to Daimabad in Maharastra (in the South). Indus Valley Civilisation is known for its technological knowledge in variety of fields.,ସିନ୍ଧୁ ଉପତ୍ୟକା ସଭ୍ୟତା ବିଭିନ୍ନ କ୍ଷେତ୍ରରେ ନିଜର ବୈଷୟିକ ଜ୍ଞାନ ପାଇଁ ଜଣାଶୁଣା ।
"The battle rages for eighteen days and ends with the defeat of the Kauravas. All the Kauravas die; only the ve Pandava brothers and Krishna survive. The six set out for heaven together, but all die on the way, except Yudhishthira, who reaches the gates of heaven accompanied only by a small dog, who turns out to be an incarnation of the god Dharma.",ସମସ୍ତ କୌରବ ମୃତ୍ୟୁ ବରଣ କରନ୍ତି; କେବଳ ପଞ୍ଚୁ ପାଣ୍ଡବ ଭ୍ରାତା ଏବଂ କୃଷ୍ଣ ଜୀବିତ ରହନ୍ତି ।
"The battle rages for eighteen days and ends with the defeat of the Kauravas. All the Kauravas die; only the ve Pandava brothers and Krishna survive. The six set out for heaven together, but all die on the way, except Yudhishthira, who reaches the gates of heaven accompanied only by a small dog, who turns out to be an incarnation of the god Dharma.",ଅଠର ଦିନ ଧରି ଭୀଷଣ ଯୁଦ୍ଧ ଚାଲେ ଏବଂ କୌରବମାନଙ୍କ ପରାଜୟ ସହିତ ସମାପ୍ତ ହୁଏ ।
"The central story of the Mahabharata is a conict over succession to the throne of Hastinapura, a kingdom just north of modern Delhi that was the ancestral realm of a tribe most commonly known as the Bharatas. (India was at that time divided amongst many small, and often warring, kingdoms.) The struggle is between two groups of cousins, the Pandavas, or sons of Pandu, and the Kauravas, or descendants of Kuru. Because of his blindness, Dhritarashtra, the elder brother of Pandu, is passed over as king, the throne going instead to Pandu.","ମହାଭାରତର ମୁଖ୍ୟ କାହାଣୀଟି ହେଉଛି ଆଧୁନିକ ଦିଲ୍ଲୀର ଠିକ୍ ଉତ୍ତରରେ ଅବସ୍ଥିତ ହସ୍ତୀନାପୁର ରାଜ୍ୟର ସିଂହାସନର ଉତ୍ତରାଧିକାରକୁ ନେଇ ଏକ ସଙ୍ଘର୍ଷ, ଯାହା ସାଧାରଣଭାବେ ଭରତ ନାମରେ ଜଣାଶୁଣା ଏକ ଜନଜାତିଙ୍କର ପୈତୃକ ଦେଶ ଥିଲା।"
"The number of vegetarians exceed the number of non-vegetarians in Karnataka; therefore, their cuisine mainly consists of vegetarian dishes. The food of Karnataka is the mildest of all. Lunch is mostly served on a plantain leaf.","କର୍ଣ୍ଣାଟକରେ ଶାକାହାରୀମାନଙ୍କ ସଂଖ୍ୟା ଆମିଷାଶୀମାନଙ୍କ ସଂଖ୍ୟାକୁ ଅତିକ୍ରମ କରିଯାଇଛି; ସୁତରାଂ, ସେମାନଙ୍କ ଭୋଜନରେ ମୁଖ୍ୟତଃ ନିରାମିଷ ଖାଦ୍ୟମାନ ରହିଥାଏ ।"
"The rst is that the Gita is a conversation within a conversation. Dhritarashtra begins it by asking a question, and that is the last we hear out of him. He is answered by Sanjaya, who relates what is happening on the battle eld.","ତାଙ୍କୁ ଉତ୍ତର ଦେଇଥାନ୍ତି ସଞ୍ଜୟ, ଯିଏ ଯୁଦ୍ଧକ୍ଷେତ୍ରରେ ଘଟୁଥିବା ଘଟଣାଗୁଡ଼ିକର ବର୍ଣ୍ଣନା କରନ୍ତି।"
"The two epics found in Tamil are Cilapathikaram and Manimekalai. Regarded as one of the great works of Tamil literature, the Silappadikaram is a poetic rendition with details of Tamil culture; its varied religions; its town plans and city types; the mingling of different people; and the arts of dance and music. Manimekalai is composed by the poet Chithalai Chathanar.","ତାମିଲ ଭାଷାରେ ଆମକୁ ମିଳିଥିବା ଦୁଇଟି କାବ୍ୟ ହେଉଛି, ସିଲାପଠିକରମ୍ ଏବଂ ମନିମେକଲାଇ |"
The use of chilli powder in this region is done cautiously. They make a liberal use of palm sugar or brown sugar. Udupi food forms part of the cuisine of Karnataka,ଏହି ଅଞ୍ଚଳରେ ଲଙ୍କା ଗୁଣ୍ଡର ବ୍ୟବହାର ସତର୍କତାର ସହିତ କରାଯାଇଥାଏ |
"The word Yoga is derived from the Sanskrit root Yuj, meaning to join or to yoke or to unite. As per Yogic scriptures, the practice of Yoga leads to the union of an individual consciousness with that of the universal consciousness indicating a perfect harmony between the body and mind, human and nature. According to modern scientists, everything in the universe is just a manifestation of the same quantum firmament.","'ଯୋଗ' ଶବ୍ଦଟି ମୂଳ ସଂସ୍କୃତ 'ୟୁଜ୍‌‌'ରୁ ଆସିଛି, ଯାହାର ଅର୍ଥ ହେଉଛି ଯୋଡ଼ିବା ବା ବାନ୍ଧିବା ବା ଏକତ୍ର କରିବା |"
"Tne Odissi dance form takes its name from the state of its origin, Odisha. It is approximately 60 years ago that Odissi, took its present form as seen today. Todays Odissi has evolved from the endless sculptures in various motifs carved on the temple walls of Orissa.",ଆଜିର ଓଡ଼ିଶୀ ଓଡ଼ିଶାର ମନ୍ଦିର କାନ୍ଥମାନଙ୍କରେ ଖୋଦିତ ହୋଇଥିବା ବିଭିନ୍ନ ବୈଶିଷ୍ଟ୍ୟସୂଚକ ଉପାଦାନରେ ରହିଥିବା ଅଗଣିତ ପ୍ରତିମାରୁ ବିକଶିତ ହୋଇଛି ।
"Vasishtha now turned to the King and spoke gently: ""It ill becomes you, King, to refuse having promised once"". Born in the Ikshvaku line, you cannot do it. Having once said, 'I will do', you have no option but to do it.","ବଶିଷ୍ଠ ବର୍ତ୍ତମାନ ରାଜାଙ୍କ ଆଡ଼କୁ ଚାହିଁଲେ ଏବଂ ନମ୍ର ଭାବରେ କହିଲେ: ""ଥରେ ପ୍ରତିଜ୍ଞା କରି ପ୍ରତ୍ୟାଖ୍ୟାନ କରିବା ଆପଣଙ୍କ ପକ୍ଷରେ ଅସଙ୍ଗତ, ରାଜନ୍‌ ।"""
"When Arjuna refuses to ght, Krishna has no patience with him. Only when he realizes the extent of Arjunas despondency does Krishna change his attitude and start teaching the mysteries of dharmic action in this world. He introduces Arjuna to the structure of the universe, the concepts of prakriti, primordial nature, and the three gunas, the properties that are active in prakriti.","ଯେତେବେଳେ ଅର୍ଜୁନଙ୍କ ନୈରାଶ୍ୟର ମାତ୍ରା ବିଷୟରେ କୃଷ୍ଣ ବୁଝିପାରିଛନ୍ତି, ସେତେବେଳେ ହିଁ ସେ ନିଜ ମନୋଭାବ ବଦଳେଇଛନ୍ତି ଏବଂ ଏ ପୃଥିବୀରେ ଧାର୍ମିକ ଆଚରଣର ରହସ୍ୟ ବିଷୟରେ ଶିକ୍ଷା ଦେବା ଆରମ୍ଭ କରିଛନ୍ତି।"
"You may begin by adding a spoonful of grated coconut into the cylindrical container, followed by the well mixed rice flour. As you add the rice flour into the container, in between, you may also add small quantities of grated coconut. Make sure that the cylinder is just fully filled and now you may place it on the Puttu Kudam after covering the top portion of the cylinder.","ପାତ୍ର ମଧ୍ୟକୁ ଚାଉଳ ଚୂନା ଢାଳିବା ସମୟରେ, ମଝିରେ ମଝିରେ, ଆପଣ ସ୍ୱଳ୍ପ ପରିମାଣର କୋରା ନଡ଼ିଆ ମଧ୍ୟ ମିଶାଇ ପାରନ୍ତି ।"
"You may begin by adding a spoonful of grated coconut into the cylindrical container, followed by the well mixed rice flour. As you add the rice flour into the container, in between, you may also add small quantities of grated coconut. Make sure that the cylinder is just fully filled and now you may place it on the Puttu Kudam after covering the top portion of the cylinder.","ପ୍ରଥମେ ଚାମଚେ କୋରା ନଡ଼ିଆକୁ ଏକ ସିଲିଣ୍ଡର ଆକୃତି ପାତ୍ରରେ ରଖି, ତା'ପରେ ସେଥିରେ ଭଲ ଭାବେ ମିଶିଥିବା ଚାଉଳ ଚୂନାକୁ ରଖି ଆପଣ ଆରମ୍ଭ କରିପାରନ୍ତି।"
"maharajaranjitsinghsendowmentsawtheconstructionofabeautifulgurudwaraatnandedaround1835a.d.thegurudwarafeaturesanimposinggoldendomewithintricatecarvingandabreathtakinggurudwara.maharashtra,likeotherstatesofindia,hasitsownfolkmusic.thefolkmusicalprogrammelikegondhal,lavani,bharud,powadastandspopularespeciallyinruralareas.","ମହାରାଜା ରଣଜିତ୍‌ ସିଂ ସମ୍ପତ୍ତି ଦାନକରିବା ଫଳରେ ନାନ୍ଦେଦ ଠାରେ, ୧୮୩୫ ମସିହା ପାଖାପାଖି, ଏକ ସୁନ୍ଦର ଓ ଚିତ୍ତାକର୍ଷକ ଗୁରୁଦ୍ୱାର ନିର୍ମାଣ ହୋଇଥିଲା, ଯେଉଁଥିରେ ସୂକ୍ଷ୍ମ କାରୁକାର୍ଯ୍ୟ ମଣ୍ଡିତ ଏକ ବିଶାଳ ସୁବର୍ଣ୍ଣ ଗମ୍ବୁଜ ରହିଛି।"
"samavedaisthecompilationoftheseselectedruchassettosvaraskeepingtheirproposedchandaorrhythmicmeters.onlythreesvarasudatta,anudattaandsvaritawereusedinsamagana.udattawasthesharppitch,anudattawasgravepitchandsvaritacombinedinitselfthecharacteristicsofboththepitches.",ସାମ ବେଦ ହେଉଛି ନିର୍ଦ୍ଧାରିତ ଛନ୍ଦ ଓ ତାଳରେ ସ୍ୱର ଦିଆହୋଇଥିବା ସେହି ସୁନିର୍ବାଚିତ ଋଚାଗୁଡ଼ିକର ସଙ୍କଳନ।
"tothenorthofthegangawasthegreatkingdomkosala,madefertilebytheriversarayu.itscapitalwasayodhya,builtbymanu,thefamousrulerofthesolardynasty.fromvalmiki'sdescriptionofthecapitalofkosala,itisclearthatancientayodhyawasnotinferiortoourmoderncities.",କୋଶଳର ରାଜଧାନୀ ବିଷୟରେ ବାଲ୍ମିକୀଙ୍କ ବର୍ଣ୍ଣନାରୁ ଏହା ସ୍ପଷ୍ଟ ଯେ ପ୍ରାଚୀନ ଅଯୋଧ୍ୟା ଆମର ଆଧୁନିକ ସହରଗୁଡ଼ିକ ତୁଳନାରେ ନିକୃଷ୍ଟ ନଥିଲା।
"vasishthanowturnedtothekingandspokegently:""itillbecomesyou,king,torefusehavingpromisedonce.bornintheikshvakuline,youcannotdoit.havingoncesaid,'iwilldo',youhavenooptionbuttodoit.","ଥରେ କହିସାରିବା ପରେ ଯେ, 'ମୁଁ ଏହା କରିବି', ଆପଣଙ୍କ ପାଖରେ ତାହା କରିବା ବ୍ୟତୀତ ଅନ୍ୟ କୌଣସି ବିକଳ୍ପ ନାହିଁ |"
"A stable exchange rate is a beacon of financial and overall macroeconomic stability and market confidence. In recent days, there have been divergent views on the exchange rate of the rupee and the adequacy of our forex reserves. Let me set out the overall position once again.","ନିକଟ ଅତୀତର ଦିନଗୁଡ଼ିକରେ, ଟଙ୍କାର ବିନିମୟ ହାର ଏବଂ ବିଦେଶୀ ମୁଦ୍ରା ଭଣ୍ଡାରର ଯଥେଷ୍ଟତା ଉପରେ ଭିନ୍ନ ଭିନ୍ନ ମତ ରହି ଆସିଛି ।"
