text,hi_text
"And wherever he went he won hearts through his straightforwardness, humility and simplicity","कई स्थानों पर गये और जहां भी गये, वहां, अपनी सरलता, विनम्रता, सादगी उन्होंने सबका दिल जीत लिया"
Guru Nanak Ji undertook many significant spiritual journeys called 'Udaasi',"गुरुनानक देव जी ने कई महत्वपूर्ण धार्मिक यात्राएँ की, जिन्हें 'उदासी' कहा जाता है"
"Carrying the message of harmony and equality, he travelled north, south, east and west, meeting people, saints and sages","सद्भावना और समानता का सन्देश लेकर, वे, उत्तर हो या दक्षिण, पूर्व हो या पश्चिम हर दिशा में गये, हर जगह लोगों से, संतों और ऋषियों से मिले"
It is said that the revered Assamese saint Shankar Dev too was inspired by him,माना जाता है कि असम के सुविख्यात सन्त शंकरदेव भी उनसे प्रेरित हुए थे
He also travelled to the holy land of Haridwar,उन्होंने हरिद्वार की पवित्र भूमि की यात्रा की
There is a holy place in Kashi named 'Gurubagh Gurudwara',"काशी में एक पवित्र स्थल, 'गुरुबाग गुरुद्वारा' है ऐसा कहा जाता है कि श्री गुरुनानक देव जी वहां रुके थे"
It is believed that Guru Nanak Dev Ji had halted there,"दक्षिण में गुरुनानक देव जी, श्रीलंका तक की यात्रा की"
He also went to Buddhist holy sites such as Rajgir and Gaya,वे बौद्ध धर्म से जुड़ी 'राजगीर' और 'गया' जैसे धार्मिक स्थानों पर भी गए थे
"His journeys to the south took him to Sri Lanka, as well","दक्षिण में गुरुनानक देव जी, श्रीलंका तक की यात्रा की"
"During his Yatra to Bidar, Karnataka, he devised a solution for water woes the place was grappling with","कर्नाटका में बिदर की यात्रा के दौरान, गुरुनानक देव जी ने ही, वहां पानी की समस्या का समाधान किया था"
"Gurunanak Jhira Sahib is a famous place in Bidar dedicated to him, cherishing reminiscences of him","बिदर में 'गुरुनानक जीरा साहब' नाम का एक प्रसिद्ध स्थल है जो गुरुनानक देव जी की हमें याद भी दिलाता है, उन्हीं को ये समर्पित है"
"During one Udaasi, Gurunanak Dev Ji travelled north to Kashmir and neighboring areas","एक उदासी के दौरान, गुरुनानक जी ने उत्तर में, कश्मीर और उसके आसपास के इलाके की भी यात्रा की"
This forged a strong bond between Sikh followers and Kashmir,इसे सिख अनुयायियों और कश्मीर के बीच काफी मजबूत सम्बन्ध स्थापित हुआ
Guru Nanak Dev Ji also went to Tibet where people accorded him the status of a Guru,"गुरुनानक देव जी तिब्बत भी गये, जहां के लोगों ने, उन्हें, 'गुरु' माना"
"He is revered in Uzbekistan too, which he had visited","वे उज्बेकिस्तान में भी पूजनीय हैं, जहां, उन्होनें, यात्रा की थी"
"During one Udaasi, he widely travelled to Islamic countries including Saudi Arabia, Iraq and Afghanistan","अपनी एक उदासी के दौरान, उन्होंने, बड़े पैमाने पर इस्लामिक देशों की भी यात्रा की थी, जिसमें, सौदी अरब, इराक और अफगानिस्तान भी शामिल हैं"
"He secured a revered place in the hearts of millions who followed his messages with complete devotion, a practice that continues even in the present times","वे लाखों लोगों के दिलों में बसे, जिन्होंने पूरी श्रद्धा के साथ उनके उपदेशों का अनुसरण किया और आज भी कर रहे हैं"
"Just a few days ago, Ambassadors of approximately eightyfive countries went to Amritsar from Delhi","अभी कुछ दिन पहले ही, करीब 85 देशों के आइटी फाइव कंट्रीज के राजदूत, दिल्ली से अमृतसर गये थे"
"There in the Golden Temple itself, they undertook a holy Darshan, commemorating the 550th Prakash Parv of Guru Nanak Devji",वहां उन्होंने अमृतसर के स्वर्ण मंदिर के दर्शन किये और ये सब गुरुनानक देव जी के 550वें प्रकाशपर्व के निमित्त हुआ था
"Besides Darshan, all these Ambassadors had the opportunity to know more about Sikh traditions and culture","वहां इन सारे राजदूतों ने गोल्डेन टेम्पल के दर्शन तो किये ही, उन्हें, सिख परम्परा और संस्कृति के बारे में भी जानने का अवसर मिला"
"Following that, many Ambassadors shared those photos on social media, writing about their glorious experiences",इसके बाद कई राजदूतों ने सोशल मीडिया पर वहां की तस्वीरें साझा की
It's my devout wish to imbibe Guru Nanak Dev Ji's thoughts and ideals into our lives; may we be all the more inspired to make it happen,मेरी कामना है कि गुरु नानक देव जी के 550वाँ प्रकाश पर्व हमें उनके विचारों और आदर्शों को अपने जीवन में उतारने की और अधिक प्रेरणा दें
"My dear brothers and sisters, I am sure all of you remember the significance of the 31st of October","मेरे प्यारे भाइयों और बहनों, मुझे विश्वास है कि 31 अक्तूबर की तारीख़ आप सबको अवश्य याद होगी"
"This day marks the birth anniversary of the Iron Man of India, Sardar Vallabhbhai Patel, the unifying force in bonding us as a Nation; our Hero",यह दिन भारत के लौह पुरुष सरदार वल्लभभाई पटेल की जन्म जयंती का है जो देश को एकता के सूत्र में पिरोने वाले महानायक थे
"On the one hand Sardar Patel, possessed the rare quality of uniting people; on the other, he was able to strike a balance with people who were not in ideological agreement with him","सरदार पटेल में जहाँ लोगों को एकजुट करने की अद्भुत क्षमता थी, वहीँ, वे उन लोगों के साथ भी तालमेल बिठा लेते थे जिनके साथ वैचारिक मतभेद होते थे"
Sardar Patel used to observe even the minutest of things indepth; assessing and evaluating them simultaneously,"सरदार पटेल बारीक़सेबारीक़ चीजों को भी बहुत गहराई से देखते थे, परखते थे"
He was a 'Man of Detail' in the true sense of the term,"सही मायने में, वे 'मन ओएफ डिटेल' थे"
"Along with that, he was also adept at organising skills",इसके साथ ही वे संगठन कौशल में भी निपुण थे
Chalking out plans and devising strategies was his core forte',योजनाओं को तैयार करने और रणनीति बनाने में उन्हें महारत हासिल थी
"When we read and hear about Sardar Saheb's style of working, we come to know of the sheer magnitude of the meticulousness in his planning","सरदार साहब की कार्यशैली के विषय में जब पढ़ते हैं, सुनते हैं, तो पता चलता है कि उनकी प्लानिंग कितनी जबरदस्त होती थी"
"In 1921, in the Congress Session in Ahmedabad, thousands of delegates from across the country were slated to participate",1921 में नाइनटीन ट्वेंटी ओने में अहमदाबाद में कांग्रेस के अधिवेशन में शामिल होने के लिए देशभर से हजारों की संख्या में डेलीगेट्स पहुँचने वाले थे
Sardar Patel was entrusted with overlooking all the arrangements,अधिवेशन की सारी व्यवस्था की जिम्मेदारी सरदार पटेल पर थी
He utilized this opportunity in improving the city's water supply network,इस अवसर का उपयोग उन्होंने शहर में पानी सप्लाई के नेटवर्क को भी सुधारने के लिए किया
He ensured that not a single person would face a problem on account of water,यह सुनिश्चित किया कि किसी को भी पानी की दिक्कत न हो
"Not just that, he was also concerned about the safety and security of the delegates' shoes and baggage","यहीं नही, उन्हें, इस बात की भी फ़िक्र थी कि अधिवेशन स्थल से किसी डेलीगेट का सामान या उसके जूते चोरी न हो जाएँ और इसे ध्यान में रखते हुए सरदार पटेल ने जो किया वो जानकर आपको बहुत आश्चर्य होगा"
"To ensure that, what he did will surprise you",इस बात को लोग शायद ही याद करते हैं
He contacted farmers and urged them to craft khadi bags,उन्होंने किसानों से संपर्क किया और उनसे खादी के बैग बनाने का आग्रह किया
These were made and sold to the delegates,किसानों ने बैग बनाये और प्रतिनिधियों को बेचे
"They carried the bags with their shoes inside, free from any tension of the footwear getting stolen","इन बैग्स में जूते डाल, अपने साथ रखने से डेलीगेट्स के मन से जूते चोरी होने की टेंशन ख़त्म हो गई"
"On the other hand, it led to a major rise in the sale of khadi",वहीँ दूसरी तरफ खादी की बिक्री में भी काफ़ी वृद्धि हुई
Our country will always be indebted to Sardar Patel for his steller role in the Constituent Assembly,"संविधान सभा में उल्लेखनीय भूमिका निभाने के लिए हमारा देश, सरदार पटेल का सदैव कृतज्ञ रहेगा"
He strove to ensure enshrinement of fundamental rights that obliterated any possibility of discrimination on the basis of caste and community,"उन्होंने मौलिक अधिकारों को सुनिश्चित करने का महत्वपूर्ण कार्य किया, जिससे, जाति और संप्रदाय के आधार पर होने वाले किसी भी भेदभाव की गुंजाइश न बचे"
"Friends, all of us know that as India's first home minister, Sardar Patel undertook the colossal, historic task of integrating Princely states","साथियो, हम सब जानते है कि भारत के प्रथम गृहमंत्री के रूप में सरदार वल्लभभाई पटेल ने, रियासतों को, एक करने का, एक बहुत बड़ा भगीरथ और ऐतिहासिक काम किया"
Scrutinizing the minutest of events closely was his rare quality,"सरदार पटेल बारीक़सेबारीक़ चीजों को भी बहुत गहराई से देखते थे, परखते थे"
"On the one hand, he concentrated on Hyderabad, Junagarh and other States; on the other, he was watching far flung Lakshadweep intently","एक तरफ उनकी नज़र हैदराबाद, जूनागढ़ और अन्य राज्यों पर केन्द्रित थी वहीँ दूसरी तरफ उनका ध्यान दूरसुदूर दक्षिण में लक्षद्वीप पर भी था"
"Actually, when we refer to Sardar Patel's endeavour, his role in the unification of just a few notable States is discussed","दरअसल, जब हम सरदार पटेल के प्रयासों की बात करते हैं तो देश के एकीकरण में कुछ खास प्रान्तों में ही उनकी भूमिका की चर्चा होती है"
"He played a far more significant role, when it came to a small region such as Lakshadweep too",लक्षद्वीप जैसी छोटी जगह के लिए भी उन्होंने महत्वपूर्ण भूमिका निभाई थी
Lakshadweep is one of the most beautiful landscapes in India,यह भारत के सबसे खुबसूरत क्षेत्रों में से एक है
"Soon after Partition in 1947, our neighbour had cast an eye on Lakshadweep; a ship bearing their flag was sent there",1947 में भारत विभाजन के तुरंत बाद हमारे पड़ोसी की नज़र लक्षद्वीप पर थी और उसने अपने झंडे के साथ जहाज भेजा था
"When Sardar Patel was informed of this, he wasted no time in initiating stern action","सरदार पटेल को जैसे ही इस बात की जानकारी मिली उन्होंने बगैर समय गंवाये, जरा भी देर किये बिना, तुरंत, कठोर कार्यवाही शुरू कर दी"
"He urged the Mudaliar brothers, Arcot Ramaswamy Mudaliar and Arcot Laxman Swamy Mudaliar to immediately undertake a mission with people of Travancore to Lakshadweep and take the lead in unfurling the Tricolour there","उन्होंने मुदलियार ब्रदर्स, आर्कोट रामासामी मुदलियार और आर्कोट लक्ष्मणस्वामी मुदलियार से कहा कि वो त्रावणकोर के लोगों के साथ लेकर तुरंत कूच करें और वहाँ तिरंगा फहरायें"
"Following his orders, the Tricolour was promptly unfurled there and the nefarious dreams of the neighbour of annexing Lakshadweep were decimated within no time",उनके आदेश के फ़ौरन बाद वहाँ तिरंगा फहराया गया और लक्षद्वीप पर कब्ज़ा करने के पड़ोसी के हर मंसूबे देखते ही देखते ध्वस्त कर दिए
"After this incident, Sardar Patel asked the Mudaliar brothers to personally ensure all assistance for development of Lakshadweep",इस घटना के बाद सरदार पटेल ने मुदलियार ब्रदर्स से कहा कि वे व्यक्तिगत रूप से ये सुनिश्चित करें कि लक्षद्वीप को विकास के लिए हर जरुरी मदद मिले
"Today, Lakshadweep is contributing significantly in India's progress","आज, लक्षद्वीप भारत की प्रगति में, अपना महत्वपूर्ण योगदान दे रहा है"
It is an attractive tourist destination too,यह एक आकर्षक टूरिस्ट डेस्टिनेशन भी है
I hope you get the opportunity to visit the picturesque islands and its pristine beaches,मुझे उम्मीद है कि आप सब भी इसके खुबसूरत द्वीपों और समुद्र तटों की यात्रा करेंगे
"My dear countrymen, the 31st of October, 2018, is the day when the 'Statue of Unity',in memory of Sardar Saheb was dedicated to the nation and the world","मेरे प्यारे देशवासियो, 31 अक्तूबर, 2018 का दिन, जिस दिन सरदार साहब की याद में बना 'स्टेच्यू ओएफ यूनिटी' देश और दुनिया को समर्पित किया गया था"
It is the tallest statue in the world,यह दुनिया की सबसे ऊँची प्रतिमा है
It is double in height compared to the 'Statue of Liberty' located in the US,अमेरिका में स्थित 'स्टेच्यू ओएफ लिबर्टी' से भी ऊँचाई में डबल है
The distinction of having the world's highest statue fills every Indian with pride; the head of every Indian is held high,दुनिया की सबसे ऊँची प्रतिमा हर हिन्दुस्तानी को गर्व से भर देती है
"You will be happy to note that in a year, more than 26 lakh tourists visited the 'Statue of Unity'","आपको ख़ुशी होगी एक वर्ष में, 26 लाख से अधिक पर्यटक, 'स्टेच्यू ओएफ यूनिटी' को देखने के लिए पहुँचें"
This means that an average of eight and a half thousand people witnessed the grandeur of the 'Statue of Unity' every day,इसका मतलब हुआ कि प्रतिदिन औसतन साढ़े आठ हज़ार लोगों ने 'स्टेच्यू ओएफ यूनिटी' की भव्यता का दर्शन किया
The reverence and devotion for Sardar Vallabhbhai Patel in their hearts was reflected in the form of homage paid to him,सरदार वल्लभभाई की ये ही विशेषता थी जिनकी नज़र हर घटना पर टिकी थी
"Besides, at present,it houses many centres of attraction such as Cactus Garden, Butterfly Garden, Jungle Safari, and Children's Nutrition Park, Ekta Nursery, which are all constantly evolving and providing a fillip to the local economy","सरदार वल्लभभाई पटेल के प्रति उनके ह्रदय में जो आस्था है, श्रद्धा है, उसको, प्रकट किया और अब तो वहाँ कैक्टस गार्डेन, बटरफ्लाई गार्डेन, जंगल सफारी, चिल्ड्रेन न्यूट्रीशन पार्क, एकता नर्सरी, ऐसे अनेक आकर्षण के केंद्र लगातार विकसित होते चले जा रहे हैं और इससे स्थानीय अर्थव्यवस्था को भी बढ़ावा मिल रहा है और लोगों को रोज़गार के नएनए अवसर भी मिल रहे हैं"
"Local people are not only getting innovative opportunities of employment but for the convenience of visiting tourists, many villagers are providing facilities like home stays","और आने वाले पर्यटकों की सुविधा को ध्यान में रखते हुए, कई गाँव वाले, अपनेअपने घरों में, होम स्टे की सुविधा उपलब्ध करवा रहे हैं"
And these hosts are being professionally trained in the technique of running a home stay,होम स्टे फैसिलिटीज उपलब्ध कराने वाले लोगों को प्रोफेशनल ट्रेनिंग भी दी जा रही है
The locals have now started the cultivation of Dragon fruit and I am sure that it will soon become a major source of livelihood for the people there,वहाँ के लोगों ने अब ड्रैगन फ्रूट की खेती भी शुरू कर दी है और मुझे यकीन है कि जल्द ही ये वहाँ के लोगों की आजीविका का प्रमुख स्त्रोत भी बन जायेगा
"Friends, for our nation and the constituent states, as well as for the tourism industry, this 'Statue of Unity' can be a subject of research","साथियों, देश के लिए, सभी राज्यों के लिए, टूरिज्म इंडस्ट्री के लिए, ये 'स्टेच्यू ओएफ यूनिटी' एक अध्ययन का विषय हो सकता है"
We are all witness to the fact that how within a year a place developed as a world famous tourism destination,"हम सब इसके साक्षी हैं कि कैसे एक साल के भीतरभीतर एक स्थान, विश्व प्रसिद्ध टूरिज्म डेस्टिनेशन के तौर पर विकसित होता है"
People arrive there from the country and abroad,वहाँ देश विदेश से लोग आते हैं
"And one after the other, ancillary services like transport, lodging, guides and ecofriendly services are getting inducted by themselves","ट्रांसपोर्ट की, ठरहने की, गाइड्स की, इकोफ्रेंडली व्यवस्थायें, एककेबाद एक अपने आप बहुत सारी व्यवस्थायें विकसित होती चली जा रही हैं"
A large economy is developing and people are generating facilities as per the requirement of the tourists,बहुत बड़ी इकोनॉमी डेवलप हो रही है और यात्रियों की आवश्यकता के अनुसार लोग वहाँ सुविधाएँ पैदा कर रहे हैं
The government is also playing its role,सरकार भी अपनी भूमिका निभा रही है
"Friends, which Indian will not be imbued with pride for the fact that recently, Time magazine has included the 'Statue of Unity'in its list of 100 important tourist destinations around the world",साथियों कौन हिन्दुस्तानी होगा जिसको इस बात का गर्व नहीं होगा कि पिछले दिनों टाइम मैगज़ीन ने दुनिया के 100 महत्वपूर्ण टूरिस्ट डेस्टिनेशन में स्टेच्यू ओएफ यूनिटी को भी अहम् स्थान दिया है
"Of course I hope, that all of you will devote some of your precious time to visit the 'Statue of Unity'","आपको ख़ुशी होगी एक वर्ष में, 26 लाख से अधिक पर्यटक, 'स्टेच्यू ओएफ यूनिटी' को देखने के लिए पहुँचें"
"But my appeal is, that every Indian who takes out time to travel must visit at least 15 Tourist Destinations of India with family and experience a night stay at whichever place you go to; this still remains my appeal","मुझे आशा है कि आप सभी लोग अपने कीमती समय से कुछ वक़्त निकाल कर स्टेच्यू ओएफ यूनिटी देखने तो जाएंगे ही, लेकिन, मेरा आग्रह जो है कि हर हिन्दुस्तानी जो यात्रा करने के लिए समय निकालता है वह भारत के कम से कम 15 टूरिस्ट डेस्टिनेशंस परिवार के साथ करें, जहाँ जाए वहाँ रात को रुकें, यह मेरा आग्रह तो बरक़रार है ही है"
"Friends, as you know that 31st October every year since 2014 has been celebrated as 'National Unity Day'","साथियो, जैसा कि आप जानते है 2014 से हर साल 31 अक्तूबर को 'राष्ट्रीय एकता दिवस' मनाया जाता है"
"This day imparts the message to protect the unity, integrity and security of our country at any cost","यह दिन, हमें, अपने देश की एकता, अखंडता और सुरक्षा की हर कीमत पर रक्षा करने का सन्देश देता है"
"On 31st October, this year too 'Run for Unity' is being organized in consonance with previous years","31 अक्तूबर को, हर बार की तरह रुन फोर यूनिटी का आयोजन भी किया जा रहा है"
"It will include people from all walks of life, from every segment of our society","इसमें समाज के हर वर्ग के, हर तबके के लोग शामिल होंगे"
"'Run for Unity' is a symbol of unison, that the nation being united, is moving in one direction and collectively aims for One goal","रुन फोर यूनिटी इस बात का प्रतीक है, यह देश एक है"
"Ek Bharat, Shreshth Bharat","एक लक्ष्य एक भारत, श्रेष्ठ भारत आई"
