context,hin_Deva
"The battle rages for eighteen days and ends with the defeat of the Kauravas. All the Kauravas die; only the ve Pandava brothers and Krishna survive. The six set out for heaven together, but all die on the way, except Yudhishthira, who reaches the gates of heaven accompanied only by a small dog, who turns out to be an incarnation of the god Dharma.",सभी कौरव मर जाते हैं; केवल पाँच पांडव भाई और कृष्ण जीवित बचते हैं।
"The battle rages for eighteen days and ends with the defeat of the Kauravas. All the Kauravas die; only the ve Pandava brothers and Krishna survive. The six set out for heaven together, but all die on the way, except Yudhishthira, who reaches the gates of heaven accompanied only by a small dog, who turns out to be an incarnation of the god Dharma.",युद्ध अठारह दिनों तक चलता रहता है और कौरवों की पराजय के साथ समाप्त होता है।
"The central story of the Mahabharata is a conict over succession to the throne of Hastinapura, a kingdom just north of modern Delhi that was the ancestral realm of a tribe most commonly known as the Bharatas. (India was at that time divided amongst many small, and often warring, kingdoms.) The struggle is between two groups of cousins, the Pandavas, or sons of Pandu, and the Kauravas, or descendants of Kuru. Because of his blindness, Dhritarashtra, the elder brother of Pandu, is passed over as king, the throne going instead to Pandu.","महाभारत की केंद्रीय कथा हस्तिनापुर के सिंहासन पर उत्तराधिकार के लिए संघर्ष की कहानी है, एक ऐसा राज्य जो आधुनिक दिल्ली के ठीक उत्तर में है और जो भरत नाम से जानी जाने वाली एक जनजाति का पैतृक क्षेत्र है।"
"The number of vegetarians exceed the number of non-vegetarians in Karnataka; therefore, their cuisine mainly consists of vegetarian dishes. The food of Karnataka is the mildest of all. Lunch is mostly served on a plantain leaf.",कर्नाटक में शाकाहारी लोगों की संख्या मांसाहारी लोगों से अधिक है; इसलिए उनके भोजन में मुख्य रूप से शाकाहारी व्यंजन होते हैं।
"The rst is that the Gita is a conversation within a conversation. Dhritarashtra begins it by asking a question, and that is the last we hear out of him. He is answered by Sanjaya, who relates what is happening on the battle eld.","उन्हें संजय से, जो उन्हें बता रहा है कि युद्ध के मैदान में क्या हो रहा है, उत्तर मिलता है।"
"The two epics found in Tamil are Cilapathikaram and Manimekalai. Regarded as one of the great works of Tamil literature, the Silappadikaram is a poetic rendition with details of Tamil culture; its varied religions; its town plans and city types; the mingling of different people; and the arts of dance and music. Manimekalai is composed by the poet Chithalai Chathanar.",तमिल में मिलने वाले दो महाकाव्य सिलप्पदिकारम् और मणिमेकलै हैं।
The use of chilli powder in this region is done cautiously. They make a liberal use of palm sugar or brown sugar. Udupi food forms part of the cuisine of Karnataka,इस क्षेत्र में मिर्च के पाउडर का उपयोग सावधानी से किया जाता है।
"The word Yoga is derived from the Sanskrit root Yuj, meaning to join or to yoke or to unite. As per Yogic scriptures, the practice of Yoga leads to the union of an individual consciousness with that of the universal consciousness indicating a perfect harmony between the body and mind, human and nature. According to modern scientists, everything in the universe is just a manifestation of the same quantum firmament.","योग शब्द संस्कृत की युज् धातु से निकला है, जिसका अर्थ है जोड़ना या जोतना या सम्मिलित करना।"
"Tne Odissi dance form takes its name from the state of its origin, Odisha. It is approximately 60 years ago that Odissi, took its present form as seen today. Todays Odissi has evolved from the endless sculptures in various motifs carved on the temple walls of Orissa.",आज का ओड़िसी उड़ीसा के मंदिरों की दीवारों पर विभिन्न रूपांकनों में उत्कीर्ण अनगिनत प्रतिमाओं से विकसित हुआ है।
"Vasishtha now turned to the King and spoke gently: ""It ill becomes you, King, to refuse having promised once"". Born in the Ikshvaku line, you cannot do it. Having once said, 'I will do', you have no option but to do it.","वशिष्ठ अब राजा की ओर घूमे और धीरे से बोले: ""राजा , आपको शोभा नहीं देता कि आपने जिस चीज़ का एक बार वचन दिया था उससे आप मुकर जाएं।"
"When Arjuna refuses to ght, Krishna has no patience with him. Only when he realizes the extent of Arjunas despondency does Krishna change his attitude and start teaching the mysteries of dharmic action in this world. He introduces Arjuna to the structure of the universe, the concepts of prakriti, primordial nature, and the three gunas, the properties that are active in prakriti.","केवल तब जब उनको अर्जुन की हताशा की हद समझ में आई, कृष्ण ने अपना रवैया बदला और दुनिया में धार्मिक संघर्षों के रहस्य को सिखाना शुरू किया।"
"You may begin by adding a spoonful of grated coconut into the cylindrical container, followed by the well mixed rice flour. As you add the rice flour into the container, in between, you may also add small quantities of grated coconut. Make sure that the cylinder is just fully filled and now you may place it on the Puttu Kudam after covering the top portion of the cylinder.","जैसे-जैसे आप पात्र में चावल का आटा डाल रहे हों, बीच-बीच में आप कम मात्रा में घिसा हुआ नारियल भी डालें।"
"You may begin by adding a spoonful of grated coconut into the cylindrical container, followed by the well mixed rice flour. As you add the rice flour into the container, in between, you may also add small quantities of grated coconut. Make sure that the cylinder is just fully filled and now you may place it on the Puttu Kudam after covering the top portion of the cylinder.","आप बेलनाकार पात्र में एक चम्मच-भर कद्दूकस किया हुआ नारियल मिला कर शुरू कर सकते हैं, जिसके बाद अच्छी तरह मिश्रित चावल का आटा उसमें मिला दें।"
"maharajaranjitsinghsendowmentsawtheconstructionofabeautifulgurudwaraatnandedaround1835a.d.thegurudwarafeaturesanimposinggoldendomewithintricatecarvingandabreathtakinggurudwara.maharashtra,likeotherstatesofindia,hasitsownfolkmusic.thefolkmusicalprogrammelikegondhal,lavani,bharud,powadastandspopularespeciallyinruralareas.",महाराजा रणजीत सिंह के दान के कारण 1835 ई. के आस-पास नांदेड में एक सुंदर और असाधारण गुरुद्वारे का निर्माण हुआ जिसमें जटिल नक्काशी वाला एक भव्य स्वर्ण गुंबद है।
"samavedaisthecompilationoftheseselectedruchassettosvaraskeepingtheirproposedchandaorrhythmicmeters.onlythreesvarasudatta,anudattaandsvaritawereusedinsamagana.udattawasthesharppitch,anudattawasgravepitchandsvaritacombinedinitselfthecharacteristicsofboththepitches.",सामवेद इन चुनी हुई ऋचाओं का एक संग्रह है जिन्हें प्रस्तावित छंद या लयबद्ध ताल पर निर्धारित करते हुए स्वरों में व्यवस्थित किया गया है।
"tothenorthofthegangawasthegreatkingdomkosala,madefertilebytheriversarayu.itscapitalwasayodhya,builtbymanu,thefamousrulerofthesolardynasty.fromvalmiki'sdescriptionofthecapitalofkosala,itisclearthatancientayodhyawasnotinferiortoourmoderncities.",वाल्मीकि द्वारा किए गए राजधानी कोशल के वर्णन से यह सुस्पष्ट है किअयोध्या की प्राचीन राजधानी हमारे आधुनिक शहरों से किसी भी तरह से कम नहीं थी।
"vasishthanowturnedtothekingandspokegently:""itillbecomesyou,king,torefusehavingpromisedonce.bornintheikshvakuline,youcannotdoit.havingoncesaid,'iwilldo',youhavenooptionbuttodoit.","एक बार ऐसा कह देने पर कि 'मैं यह करूँगा', तुम्हारे पास इसे करने के अलावा कोई विकल्प नहीं रह जाता है।"
"A stable exchange rate is a beacon of financial and overall macroeconomic stability and market confidence. In recent days, there have been divergent views on the exchange rate of the rupee and the adequacy of our forex reserves. Let me set out the overall position once again.","हाल के वर्षों में, रुपये की विनिमय दर तथा विदेशी मुद्रा आरक्षित भंडार की पर्याप्तता पर भिन्न-भिन्न दृष्टिकोण सामने आए हैं।"
"Banks shall report a credit card account as past due to credit information companies (CICs) or levy penal charges, viz. late payment charges, etc., if any, only when a credit card account remains past due for more than three days. The number of days past due and late payment charges shall, however, be computed from the payment due date mentioned in the credit card statement.","जब कोई क्रेडिट कार्ड खाता तीन दिन से अधिक पिछला बकाया दिखाता है, केवल तभी बैंक साख सूचना कंपनियों (सी.आई.सी.) को सूचित कर सकते हैं कि इसका पिछला बकाया है या देर से भुगतान शुल्क इत्यादि जैसा जुर्माना लगा सकते हैं।"
Countries may encourage inward direct investment to improve their fnances. Firms that set up operations in host countries are subject to local tax laws and often signifcantly boost the host countrys tax revenues. Direct investment can also help a countrys balance of payments.,देश अपनी आर्थिक स्थिति में सुधार करने हेतु विदेशों से प्रत्यक्ष निवेश को बढ़ावा दे सकते हैं।
"During the pendency of the application for restructuring of the advance with the bank, the usual asset classification norms would continue to apply. The process of reclassification of an asset should not stop merely because the application is under consideration. However, as an incentive for quick implementation of the package, if the approved package is implemented by the bank within 90 days from the date of receipt of application by the bank, the asset classification status may be restored to the position which existed when the restructuring application was received by the bank.","तथापि, पैकेज के त्वरित कार्यान्वयन के लिए प्रोत्साहन के रूप में,अगर अनुमोदित पैकेज बैंक द्वारा आवेदन प्राप्त करने के 90 दिनों के भीतर कार्यान्वित किया जाता है तो आस्ति वर्गीकरण की स्थिति बैंक द्वारा पुनर्रचना का आवेदन प्राप्त करने के समय वाले स्तर पर पुनः स्थापित की जा सकती है।"
"Economic growth under capitalism may have far surpassed that of other economic systems, but inequality remains one of its most controversial attributes. Do the dynamics of private capital accumulation inevitably lead to the concentration of wealth in fewer hands, or do the balancing forces of growth, competition, and technological progress reduce inequality? Economists have taken various approaches to fnding the driver of economic inequality.","क्या निजी पूँजी संचय की गतिशीलता अनिवार्य रूप से धन के संकेन्द्रण को कुछ ही लोगों तक सीमित कर देती है, या विकास, प्रतियोगिता, तथा तकनीकी प्रगति की प्रतिकारी शक्तियों के परिणामस्वरूप असमानता कम होने लगती है?"
"First, the rupee is a freely floating currency and its exchange rate is market determined. Second, the RBI does not have any fixed exchange rate in mind. It intervenes in the market to curb excessive volatility and anchor expectations.",यह बाज़ार में अत्यधिक अस्थिरता को कम करने और स्फीति को अत्यधिक बढ़ने से रोकने के लिए हस्तक्षेप करता है।
High frequency data for Q2 indicate that economic activity remains resilient. Private consumption has been holding up. There is a sustained revival in urban demand which should get a further impetus from unfettered celebration of upcoming festivals after two and half years of living with COVID-19.,दूसरी तिमाही के उच्च आवृत्ति आँकड़े दर्शाते हैं कि आर्थिक संचालन अब भी मजबूत है।
"In macroeconomics, the subject is typically a nationhow all markets interact to generate big phenomena that economists call aggregate variables. In the realm of microeconomics, the object of analysis is a single marketfor example, whether price rises in the automobile or oil industries are driven by supply or demand changes. Te government is a major object of analysis in macroeconomicsfor example, studying the role it plays in contributing to overall economic growth or fghting infation.","समष्टि अर्थशास्त्र में, विषय विशिष्ट रूप से एक राष्ट्र होता है और इसके बाज़ार किस प्रकार से उन व्यापक घटनाओं को उत्पन्न करने में एक-दूसरे को प्रभावित करते हैं जिसे अर्थशास्त्री समग्र चर कहते हैं।"
"In ofcial statistics, the amount of money in an economy is generally measured through what is called broad money, which encompasses everything that provides a store of value and liquidity. Liquidity refers to the extent to which fnancial assets can be sold at close to full market value at short notice. Tat is, they can easily be converted into another form of money, such as cash.",चल निधि का अर्थ है किस हद तक अल्पकाल में पूरे बाजार भाव से बहुत कम अंतर पर वित्तीय संपत्ति बेची जा सकती है।
"In order to reflect a bank's actual financial health in its balance sheet and as per the recommendations made by the Committee on Financial System (Chairman Shri M. Narasimham), the Reserve Bank has introduced, in a phased manner, prudential norms for income recognition, asset classification and provisioning for the advances portfolio of the banks. Broadly, the policy of income recognition should be objective and based on record of recovery rather than on any subjective considerations.","मोटे तौर पर, आय मान्यता की नीति व्यक्तिनिष्ठ कारणों पर आधारित होने के बजाय वस्तुनिष्ठ और वसूली के विवरण पर आधारित होनी चाहिए।"
"In the case of bank finance given for industrial projects where moratorium is available for payment of interest, payment of interest becomes due only after the moratorium or gestation period is over. Therefore, such amounts of interest do not become overdue and hence NPA, with reference to the date of debit of interest. They become overdue after due date for payment of interest, if uncollected.","इसलिए, ब्याज जमा करने की तारीख के संदंर्भ में ब्याज की ऐसी राशियाँ अतिदेय नहीं रह जातीं, और परिणामस्वरूप अनर्जक आस्ति हो जाती हैं।"
"In the payments space, going forward, the focus would be on enhancing awareness about digital payments and extending the outreach of payment systems across India and beyond. Implementation of the geo-tagging framework will provide precise locations of existing payment touch points and facilitate implementation of targeted literacy programmes and intervention strategies. The possibility of linking Indias payment systems to other jurisdictions, including the ongoing initiative of interlinking Indias fast payment system - UPI - with similar systems in other jurisdictions, will enhance cross-border payment arrangements, including remittances.",भारत की सबसे त्वरित भुगतान प्रणाली - यूपीआई - को अन्य क्षेत्राधिकारों के उसी के समान भुगतान प्रणालियों से जोड़ने की जारी पहल सहित भारत की भुगतान प्रणालियों को अन्य क्षेत्राधिकार की प्रणालियों से जोड़ने की संभावना से धन के प्रेषण सहित सीमा-पार के साथ भुगतान व्यवस्थाओं में सुधार होगा।
Liquefied Natural Gas (LNG) is assuming greater importance in the energy segment as it is used to operate Power Plants and Industrial (fertilizer) Plants. Supply of LNG from source to various destinations (located in different states) through near sub-surface pipelines is techno-economically feasible and has a definite edge over other modes of transport for bulk quantity supply covering large distances. M/s.,बिजलीघरों और औद्योगिक (खाद) संयंत्रों में अपने उपयोग के कारण तरलीकृत प्राकृतिक गैस (एल.एन.जी.) ऊर्जा क्षेत्र में बहुत महत्वपूर्ण होती जा रही है।
"Marketplaces are a low-risk approach to start selling to US customers. However, while marketplaces allow you to grow sales, they do not enable you to grow a sustainable business and create your own marketable brand. Once you have established a first presence in the US, it makes sense to launch a light version of a local branded online store and focus on service and reputation building, before providing a fully functional US website, mobile experience and implementing a more aggressive and riskier marketing strategy in order to acquire new customers.","हालांकि विपणन स्थल आपको बिक्री बढ़ाने देते हैं, पर वे आपको बहुत समय तक रहने वाली कंपनी या बिक्री के योग्य ब्रांड नहीं बनाने देते।"
"Payment Aggregators (PAs) play an important role in the payments ecosystem and hence were brought under regulations in March 2020 and designated as Payment System Operators (PSOs). The current regulations are, however, applicable to Payment Aggregators processing online or e-commerce transactions. These regulations do not cover offline Payment Aggregators who handle proximity/face-to- face transactions and play a significant role in the spread of digital payments.",भुगतान के पारितंत्र में अपने महत्वपूर्ण योगदान के कारण भुगतान संग्राहकों (पी.ए.) को मार्च 2022 में नियमों के तहत कर दिया गया और उन्हें भुगतान प्रणाली संचालकों (पी.एस.ओ.) के रूप में मनोनीत किया गया।
"Payment Aggregators (PAs) play an important role in the payments ecosystem and hence were brought under regulations in March 2020 and designated as Payment System Operators (PSOs). The current regulations are, however, applicable to Payment Aggregators processing online or e-commerce transactions. These regulations do not cover offline Payment Aggregators who handle proximity/face-to- face transactions and play a significant role in the spread of digital payments.","वर्तमान विनियम, उन्हीं भुगतान समूहकों पर लागू होते हैं जो ऑनलाइन या ई-वाणिज्यिक लेन-देनों का प्रक्रमण करते हैं।"
"Ricardo observed that trade was driven by comparative rather than absolute costs (of producing a good). One country may be more productive than others in all goods, in the sense that it can produce any good using fewer inputs (such as capital and labor) than other countries require to produce the same good. Ricardos insight was that such a country would still beneft from trading according to its comparative advantageexporting products in which its absolute advantage was greatest, and importing products in which its absolute advantage was comparatively less (even if still positive).","रिकॉर्डो की अंतर्दृष्टि के अनुसार, ऐसा देश अपनी तुलनात्मक बढ़त के मुताबिक व्यापार करके, ऐसे माल का निर्यात करके जिनमें पूरा लाभ सबसे अधिक था, और ऐसा खरीद कर जिनमें यह अपेक्षाकृत कम निरपेक्ष (भले ही तब भी सकारात्मक) था, हर हाल में अंतर्राष्ट्रीय व्यापार से लाभ उठाएगा।"
"Rural demand is also gaining gradually. Investment demand is picking up and is evident from the robust growth of domestic production and import of capital goods in July and August. Bank credit grew at an accelerated pace of 16.2 per cent y-o-y as on September 9, 2022 as against 6.7 per cent a year ago.","एक साल पहले के 6.7 प्रतिशत के मुकाबले 9 सितंबर, 2022 तक बैंक साख साल-दर-साल 16.2 प्रतिशत की त्वरित गति से विकसित हुई"
"Short-term loans for raising crops, i.e. for crop loans will include traditional/non-traditional plantations, horticulture and allied activities. Medium & long-term loans for agriculture and allied activities will cover purchase of agricultural machinery, for irrigation and other developmental activities undertaken in the farm. Loans for pre-harvest and post-harvest activities cover spraying, weeding, harvesting, sorting, grading and transporting of their own farm produce.","फसल की कटाई से पहले और उसके बाद दिए जाने वाले ऋण छिड़काव, निराई, कटाई, छंटाई, वर्गीकरण और ऋषि उत्पाद के परिवहन जैसे कार्यों की लागत के लिए दिए जाते हैं।"
"Short-term loans for raising crops, i.e. for crop loans will include traditional/non-traditional plantations, horticulture and allied activities. Medium & long-term loans for agriculture and allied activities will cover purchase of agricultural machinery, for irrigation and other developmental activities undertaken in the farm. Loans for pre-harvest and post-harvest activities cover spraying, weeding, harvesting, sorting, grading and transporting of their own farm produce.",कृषि एवं उससे संबंधित संचालनों के लिए मध्यम या दीर्घकालिक ऋण खेत में सिंचाई और अन्य विकासात्मक कार्यों हेतु कृषि यंत्रों की खरीद के लिए दिए जाते हैं।
"Since the global fnancial crisis, the ofcial sector is collecting more and better information and searching for hidden vulnerabilities. Banking supervisors are examining the exposure of traditional banks to shadow banks and trying to contain it through better capital and liquidity regulationsbecause this exposure allowed shadow banks to afect the traditional fnancial sector and the economy more generally. Moreover, because many shadow banking entities were either lightly regulated or outside the purview of regulators, many authorities have expanded the scope of information reporting, and some have altered the regulatory perimeter to capture shadow-banking entities and the markets they use.",बैंकिंग निरीक्षक पारंपरिक बैंकों पर छाया बैंकों के प्रभाव की जाँच कर रहे हैं और पूंजी एवं चल निधि के लिए बेहतर विनियमन के ज़रिए इसे सीमित करने का प्रयास कर रहे हैं क्योंकि इस खुलासे से छाया बैंक पारंपरिक वित्तीय क्षेत्र तथा सामान्य तौर पर भी अर्थ व्यवस्था को प्रभावित कर पा रहे थे।
